pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,L,costura,0,-1.7000,9.8000
DELANTERO,1,L,costura,1,0.0000,9.8000
DELANTERO,1,L,costura,2,0.2597,9.5750
DELANTERO,1,L,costura,3,0.5182,9.3491
DELANTERO,1,L,costura,4,0.7743,9.1212
DELANTERO,1,L,costura,5,1.0267,8.8905
DELANTERO,1,L,costura,6,1.2744,8.6558
DELANTERO,1,L,costura,7,1.5161,8.4162
DELANTERO,1,L,costura,8,1.7506,8.1709
DELANTERO,1,L,costura,9,1.9767,7.9187
DELANTERO,1,L,costura,10,2.1933,7.6589
DELANTERO,1,L,costura,11,2.4006,7.3915
DELANTERO,1,L,costura,12,2.5997,7.1175
DELANTERO,1,L,costura,13,2.7917,6.8376
DELANTERO,1,L,costura,14,2.9774,6.5526
DELANTERO,1,L,costura,15,3.1580,6.2634
DELANTERO,1,L,costura,16,3.3345,5.9707
DELANTERO,1,L,costura,17,3.5079,5.6755
DELANTERO,1,L,costura,18,3.6793,5.3785
DELANTERO,1,L,costura,19,3.8496,5.0805
DELANTERO,1,L,costura,20,4.0199,4.7823
DELANTERO,1,L,costura,21,4.1913,4.4848
DELANTERO,1,L,costura,22,4.3647,4.1888
DELANTERO,1,L,costura,23,4.5412,3.8950
DELANTERO,1,L,costura,24,4.7215,3.6042
DELANTERO,1,L,costura,25,4.9056,3.3162
DELANTERO,1,L,costura,26,5.0931,3.0307
DELANTERO,1,L,costura,27,5.2837,2.7476
DELANTERO,1,L,costura,28,5.4772,2.4667
DELANTERO,1,L,costura,29,5.6732,2.1878
DELANTERO,1,L,costura,30,5.8716,1.9105
DELANTERO,1,L,costura,31,6.0719,1.6348
DELANTERO,1,L,costura,32,6.2740,1.3603
DELANTERO,1,L,costura,33,6.4775,1.0870
DELANTERO,1,L,costura,34,6.6821,0.8145
DELANTERO,1,L,costura,35,6.8876,0.5426
DELANTERO,1,L,costura,36,7.0937,0.2712
DELANTERO,1,L,costura,37,7.3000,0.0000
DELANTERO,1,L,costura,38,19.8399,5.0000
DELANTERO,1,L,costura,39,19.6273,5.6000
DELANTERO,1,L,costura,40,19.4179,6.1993
DELANTERO,1,L,costura,41,19.2148,6.7971
DELANTERO,1,L,costura,42,19.0213,7.3927
DELANTERO,1,L,costura,43,18.8406,7.9853
DELANTERO,1,L,costura,44,18.6757,8.5743
DELANTERO,1,L,costura,45,18.5300,9.1587
DELANTERO,1,L,costura,46,18.4067,9.7380
DELANTERO,1,L,costura,47,18.3088,10.3114
DELANTERO,1,L,costura,48,18.2395,10.8781
DELANTERO,1,L,costura,49,18.2022,11.4373
DELANTERO,1,L,costura,50,18.1999,11.9885
DELANTERO,1,L,costura,51,18.2358,12.5307
DELANTERO,1,L,costura,52,18.3132,13.0633
DELANTERO,1,L,costura,53,18.4352,13.5855
DELANTERO,1,L,costura,54,18.6047,14.0967
DELANTERO,1,L,costura,55,18.8205,14.5969
DELANTERO,1,L,costura,56,19.0779,15.0869
DELANTERO,1,L,costura,57,19.3721,15.5675
DELANTERO,1,L,costura,58,19.6983,16.0396
DELANTERO,1,L,costura,59,20.0519,16.5037
DELANTERO,1,L,costura,60,20.4279,16.9608
DELANTERO,1,L,costura,61,20.8218,17.4117
DELANTERO,1,L,costura,62,21.2286,17.8571
DELANTERO,1,L,costura,63,21.6437,18.2977
DELANTERO,1,L,costura,64,22.0622,18.7344
DELANTERO,1,L,costura,65,22.4794,19.1680
DELANTERO,1,L,costura,66,22.8908,19.5993
DELANTERO,1,L,costura,67,23.2951,20.0286
DELANTERO,1,L,costura,68,23.6932,20.4562
DELANTERO,1,L,costura,69,24.0859,20.8824
DELANTERO,1,L,costura,70,24.4740,21.3073
DELANTERO,1,L,costura,71,24.8587,21.7313
DELANTERO,1,L,costura,72,25.2406,22.1546
DELANTERO,1,L,costura,73,25.6207,22.5774
DELANTERO,1,L,costura,74,26.0000,23.0000
DELANTERO,1,L,costura,75,26.0000,72.0000
DELANTERO,1,L,costura,76,-1.7000,72.0000
DELANTERO,1,L,corte,0,-2.7000,73.0000
DELANTERO,1,L,corte,1,27.0000,73.0000
DELANTERO,1,L,corte,2,27.0000,22.6171
DELANTERO,1,L,corte,3,26.3644,21.9088
DELANTERO,1,L,corte,4,25.9836,21.4854
DELANTERO,1,L,corte,5,25.6002,21.0604
DELANTERO,1,L,corte,6,25.2136,20.6342
DELANTERO,1,L,corte,7,24.8227,20.2063
DELANTERO,1,L,corte,8,24.4269,19.7767
DELANTERO,1,L,corte,9,24.0251,19.3451
DELANTERO,1,L,corte,10,23.6166,18.9113
DELANTERO,1,L,corte,11,23.2015,18.4762
DELANTERO,1,L,corte,12,22.7835,18.0418
DELANTERO,1,L,corte,13,22.3686,17.6089
DELANTERO,1,L,corte,14,21.9618,17.1770
DELANTERO,1,L,corte,15,21.5676,16.7454
DELANTERO,1,L,corte,16,21.1908,16.3141
DELANTERO,1,L,corte,17,20.8360,15.8829
DELANTERO,1,L,corte,18,20.5078,15.4520
DELANTERO,1,L,corte,19,20.2105,15.0218
DELANTERO,1,L,corte,20,19.9479,14.5929
DELANTERO,1,L,corte,21,19.7236,14.1657
