pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,M,costura,0,-1.7000,9.6000
DELANTERO,1,M,costura,1,0.0000,9.6000
DELANTERO,1,M,costura,2,0.2529,9.3793
DELANTERO,1,M,costura,3,0.5047,9.1576
DELANTERO,1,M,costura,4,0.7540,8.9340
DELANTERO,1,M,costura,5,0.9999,8.7076
DELANTERO,1,M,costura,6,1.2410,8.4774
DELANTERO,1,M,costura,7,1.4763,8.2425
DELANTERO,1,M,costura,8,1.7045,8.0019
DELANTERO,1,M,costura,9,1.9245,7.7547
DELANTERO,1,M,costura,10,2.1352,7.5000
DELANTERO,1,M,costura,11,2.3369,7.2381
DELANTERO,1,M,costura,12,2.5305,6.9696
DELANTERO,1,M,costura,13,2.7171,6.6955
DELANTERO,1,M,costura,14,2.8977,6.4164
DELANTERO,1,M,costura,15,3.0732,6.1332
DELANTERO,1,M,costura,16,3.2447,5.8467
DELANTERO,1,M,costura,17,3.4132,5.5577
DELANTERO,1,M,costura,18,3.5797,5.2670
DELANTERO,1,M,costura,19,3.7452,4.9752
DELANTERO,1,M,costura,20,3.9107,4.6834
DELANTERO,1,M,costura,21,4.0772,4.3922
DELANTERO,1,M,costura,22,4.2457,4.1024
DELANTERO,1,M,costura,23,4.4172,3.8148
DELANTERO,1,M,costura,24,4.5925,3.5301
DELANTERO,1,M,costura,25,4.7714,3.2481
DELANTERO,1,M,costura,26,4.9537,2.9686
DELANTERO,1,M,costura,27,5.1390,2.6914
DELANTERO,1,M,costura,28,5.3271,2.4163
DELANTERO,1,M,costura,29,5.5178,2.1430
DELANTERO,1,M,costura,30,5.7107,1.8715
DELANTERO,1,M,costura,31,5.9055,1.6014
DELANTERO,1,M,costura,32,6.1020,1.3326
DELANTERO,1,M,costura,33,6.3000,1.0648
DELANTERO,1,M,costura,34,6.4990,0.7979
DELANTERO,1,M,costura,35,6.6989,0.5316
DELANTERO,1,M,costura,36,6.8993,0.2657
DELANTERO,1,M,costura,37,7.1000,0.0000
DELANTERO,1,M,costura,38,19.1000,5.0000
DELANTERO,1,M,costura,39,18.8901,5.5811
DELANTERO,1,M,costura,40,18.6834,6.1616
DELANTERO,1,M,costura,41,18.4829,6.7406
DELANTERO,1,M,costura,42,18.2917,7.3175
DELANTERO,1,M,costura,43,18.1130,7.8916
DELANTERO,1,M,costura,44,17.9499,8.4621
DELANTERO,1,M,costura,45,17.8055,9.0285
DELANTERO,1,M,costura,46,17.6829,9.5899
DELANTERO,1,M,costura,47,17.5852,10.1456
DELANTERO,1,M,costura,48,17.5156,10.6950
DELANTERO,1,M,costura,49,17.4771,11.2374
DELANTERO,1,M,costura,50,17.4729,11.7720
DELANTERO,1,M,costura,51,17.5061,12.2982
DELANTERO,1,M,costura,52,17.5798,12.8152
DELANTERO,1,M,costura,53,17.6972,13.3223
DELANTERO,1,M,costura,54,17.8609,13.8189
DELANTERO,1,M,costura,55,18.0695,14.3052
DELANTERO,1,M,costura,56,18.3183,14.7818
DELANTERO,1,M,costura,57,18.6027,15.2496
DELANTERO,1,M,costura,58,18.9181,15.7092
DELANTERO,1,M,costura,59,19.2599,16.1614
DELANTERO,1,M,costura,60,19.6234,16.6069
DELANTERO,1,M,costura,61,20.0040,17.0465
DELANTERO,1,M,costura,62,20.3971,17.4809
DELANTERO,1,M,costura,63,20.7980,17.9108
DELANTERO,1,M,costura,64,21.2022,18.3370
DELANTERO,1,M,costura,65,21.6049,18.7601
DELANTERO,1,M,costura,66,22.0019,19.1810
DELANTERO,1,M,costura,67,22.3920,19.5999
DELANTERO,1,M,costura,68,22.7759,20.0173
DELANTERO,1,M,costura,69,23.1546,20.4332
DELANTERO,1,M,costura,70,23.5289,20.8480
DELANTERO,1,M,costura,71,23.8997,21.2618
DELANTERO,1,M,costura,72,24.2679,21.6749
DELANTERO,1,M,costura,73,24.6344,22.0876
DELANTERO,1,M,costura,74,25.0000,22.5000
DELANTERO,1,M,costura,75,25.0000,70.0000
DELANTERO,1,M,costura,76,-1.7000,70.0000
DELANTERO,1,M,corte,0,-2.7000,71.0000
DELANTERO,1,M,corte,1,26.0000,71.0000
DELANTERO,1,M,corte,2,26.0000,22.1206
DELANTERO,1,M,corte,3,25.3821,21.4236
DELANTERO,1,M,corte,4,25.0151,21.0102
DELANTERO,1,M,corte,5,24.6454,20.5954
DELANTERO,1,M,corte,6,24.2725,20.1793
DELANTERO,1,M,corte,7,23.8955,19.7616
DELANTERO,1,M,corte,8,23.5136,19.3421
DELANTERO,1,M,corte,9,23.1259,18.9207
DELANTERO,1,M,corte,10,22.7316,18.4972
DELANTERO,1,M,corte,11,22.3308,18.0723
DELANTERO,1,M,corte,12,21.9272,17.6482
DELANTERO,1,M,corte,13,21.5265,17.2257
DELANTERO,1,M,corte,14,21.1335,16.8043
DELANTERO,1,M,corte,15,20.7528,16.3837
DELANTERO,1,M,corte,16,20.3890,15.9634
DELANTERO,1,M,corte,17,20.0465,15.5436
DELANTERO,1,M,corte,18,19.7297,15.1245
DELANTERO,1,M,corte,19,19.4429,14.7065
DELANTERO,1,M,corte,20,19.1897,14.2901
DELANTERO,1,M,corte,21,18.9736,13.8761
DELANTERO,1,M,corte,22,18.7971,13.4646
DELANTERO,1,M,corte,23,18.6612,13.0524
DELANTERO,1,M,corte,24,18.5638,12.6315
DELANTERO,1,M,corte,25,18.5017,12.1959
DELANTERO,1,M,corte,26,18.4732,11.7444
DELANTERO,1,M,corte,27,18.4768,11.2767
DELANTERO,1,M,corte,28,18.5111,10.7934
DELANTERO,1,M,corte,29,18.5742,10.2951
DELANTERO,1,M,corte,30,18.6642,9.7832
DELANTERO,1,M,corte,31,18.7787,9.2588
DELANTERO,1,M,corte,32,18.9153,8.7232
DELANTERO,1,M,corte,33,19.0713,8.1777
DELANTERO,1,M,corte,34,19.2438,7.6234
DELANTERO,1,M,corte,35,19.4300,7.0615
DELANTERO,1,M,corte,36,19.6269,6.4930
DELANTERO,1,M,corte,37,19.8314,5.9187
DELANTERO,1,M,corte,38,20.3642,4.4434
DELANTERO,1,M,corte,39,6.7692,-1.2211
DELANTERO,1,M,corte,40,6.1011,-0.3367
DELANTERO,1,M,corte,41,5.8997,-0.0695
DELANTERO,1,M,corte,42,5.6982,0.1989
DELANTERO,1,M,corte,43,5.4970,0.4687
