pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,XL,costura,0,-1.7000,10.0000
DELANTERO,1,XL,costura,1,0.0000,10.0000
DELANTERO,1,XL,costura,2,0.2665,9.7708
DELANTERO,1,XL,costura,3,0.5317,9.5406
DELANTERO,1,XL,costura,4,0.7945,9.3085
DELANTERO,1,XL,costura,5,1.0536,9.0733
DELANTERO,1,XL,costura,6,1.3078,8.8341
DELANTERO,1,XL,costura,7,1.5559,8.5900
DELANTERO,1,XL,costura,8,1.7966,8.3398
DELANTERO,1,XL,costura,9,2.0288,8.0827
DELANTERO,1,XL,costura,10,2.2513,7.8177
DELANTERO,1,XL,costura,11,2.4643,7.5449
DELANTERO,1,XL,costura,12,2.6689,7.2653
DELANTERO,1,XL,costura,13,2.8662,6.9796
DELANTERO,1,XL,costura,14,3.0571,6.6887
DELANTERO,1,XL,costura,15,3.2428,6.3935
DELANTERO,1,XL,costura,16,3.4243,6.0947
DELANTERO,1,XL,costura,17,3.6026,5.7933
DELANTERO,1,XL,costura,18,3.7788,5.4900
DELANTERO,1,XL,costura,19,3.9540,5.1857
DELANTERO,1,XL,costura,20,4.1292,4.8812
DELANTERO,1,XL,costura,21,4.3054,4.5774
DELANTERO,1,XL,costura,22,4.4837,4.2752
DELANTERO,1,XL,costura,23,4.6652,3.9752
DELANTERO,1,XL,costura,24,4.8506,3.6783
DELANTERO,1,XL,costura,25,5.0398,3.3843
DELANTERO,1,XL,costura,26,5.2325,3.0929
DELANTERO,1,XL,costura,27,5.4284,2.8039
DELANTERO,1,XL,costura,28,5.6272,2.5172
DELANTERO,1,XL,costura,29,5.8287,2.2325
DELANTERO,1,XL,costura,30,6.0325,1.9495
DELANTERO,1,XL,costura,31,6.2383,1.6681
DELANTERO,1,XL,costura,32,6.4459,1.3881
DELANTERO,1,XL,costura,33,6.6550,1.1091
DELANTERO,1,XL,costura,34,6.8652,0.8311
DELANTERO,1,XL,costura,35,7.0763,0.5537
DELANTERO,1,XL,costura,36,7.2880,0.2767
DELANTERO,1,XL,costura,37,7.5000,0.0000
DELANTERO,1,XL,costura,38,20.5767,5.0000
DELANTERO,1,XL,costura,39,20.3615,5.6190
DELANTERO,1,XL,costura,40,20.1497,6.2371
DELANTERO,1,XL,costura,41,19.9443,6.8538
DELANTERO,1,XL,costura,42,19.7487,7.4681
DELANTERO,1,XL,costura,43,19.5661,8.0792
DELANTERO,1,XL,costura,44,19.3998,8.6865
DELANTERO,1,XL,costura,45,19.2530,9.2892
DELANTERO,1,XL,costura,46,19.1290,9.8864
DELANTERO,1,XL,costura,47,19.0311,10.4773
DELANTERO,1,XL,costura,48,18.9625,11.0613
DELANTERO,1,XL,costura,49,18.9264,11.6375
DELANTERO,1,XL,costura,50,18.9262,12.2052
DELANTERO,1,XL,costura,51,18.9650,12.7635
DELANTERO,1,XL,costura,52,19.0462,13.3117
DELANTERO,1,XL,costura,53,19.1730,13.8491
DELANTERO,1,XL,costura,54,19.3484,14.3748
DELANTERO,1,XL,costura,55,19.5714,14.8889
DELANTERO,1,XL,costura,56,19.8374,15.3923
DELANTERO,1,XL,costura,57,20.1414,15.8858
DELANTERO,1,XL,costura,58,20.4785,16.3702
DELANTERO,1,XL,costura,59,20.8439,16.8463
DELANTERO,1,XL,costura,60,21.2325,17.3150
DELANTERO,1,XL,costura,61,21.6396,17.7771
DELANTERO,1,XL,costura,62,22.0601,18.2334
DELANTERO,1,XL,costura,63,22.4893,18.6848
DELANTERO,1,XL,costura,64,22.9222,19.1321
DELANTERO,1,XL,costura,65,23.3539,19.5762
DELANTERO,1,XL,costura,66,23.7797,20.0177
DELANTERO,1,XL,costura,67,24.1983,20.4573
DELANTERO,1,XL,costura,68,24.6104,20.8952
DELANTERO,1,XL,costura,69,25.0171,21.3316
DELANTERO,1,XL,costura,70,25.4192,21.7668
DELANTERO,1,XL,costura,71,25.8176,22.2009
DELANTERO,1,XL,costura,72,26.2132,22.6344
DELANTERO,1,XL,costura,73,26.6071,23.0673
DELANTERO,1,XL,costura,74,27.0000,23.5000
DELANTERO,1,XL,costura,75,27.0000,74.0000
DELANTERO,1,XL,costura,76,-1.7000,74.0000
DELANTERO,1,XL,corte,0,-2.7000,75.0000
DELANTERO,1,XL,corte,1,28.0000,75.0000
DELANTERO,1,XL,corte,2,28.0000,23.1137
DELANTERO,1,XL,corte,3,27.3468,22.3944
DELANTERO,1,XL,corte,4,26.9524,21.9608
DELANTERO,1,XL,corte,5,26.5553,21.5258
DELANTERO,1,XL,corte,6,26.1548,21.0894
DELANTERO,1,XL,corte,7,25.7501,20.6514
DELANTERO,1,XL,corte,8,25.3403,20.2116
DELANTERO,1,XL,corte,9,24.9245,19.7698
DELANTERO,1,XL,corte,10,24.5017,19.3259
DELANTERO,1,XL,corte,11,24.0723,18.8805
DELANTERO,1,XL,corte,12,23.6400,18.4359
DELANTERO,1,XL,corte,13,23.2110,17.9926
DELANTERO,1,XL,corte,14,22.7902,17.5500
DELANTERO,1,XL,corte,15,22.3825,17.1077
DELANTERO,1,XL,corte,16,21.9928,16.6652
DELANTERO,1,XL,corte,17,21.6257,16.2226
DELANTERO,1,XL,corte,18,21.2861,15.7799
DELANTERO,1,XL,corte,19,20.9782,15.3375
DELANTERO,1,XL,corte,20,20.7062,14.8960
DELANTERO,1,XL,corte,21,20.4735,14.4557
DELANTERO,1,XL,corte,22,20.2831,14.0169
DELANTERO,1,XL,corte,23,20.1359,13.5755
DELANTERO,1,XL,corte,24,20.0292,13.1234
DELANTERO,1,XL,corte,25,19.9599,12.6554
DELANTERO,1,XL,corte,26,19.9262,12.1706
DELANTERO,1,XL,corte,27,19.9264,11.6690
DELANTERO,1,XL,corte,28,19.9588,11.1510
DELANTERO,1,XL,corte,29,20.0215,10.6175
DELANTERO,1,XL,corte,30,20.1123,10.0698
DELANTERO,1,XL,corte,31,20.2287,9.5092
DELANTERO,1,XL,corte,32,20.3680,8.9370
DELANTERO,1,XL,corte,33,20.5275,8.3545
DELANTERO,1,XL,corte,34,20.7042,7.7629
DELANTERO,1,XL,corte,35,20.8951,7.1635
DELANTERO,1,XL,corte,36,21.0970,6.5573
DELANTERO,1,XL,corte,37,21.3068,5.9452
DELANTERO,1,XL,corte,38,21.8397,4.4123
DELANTERO,1,XL,corte,39,7.1600,-1.2006
DELANTERO,1,XL,corte,40,6.4938,-0.3310
DELANTERO,1,XL,corte,41,6.2812,-0.0528
DELANTERO,1,XL,corte,42,6.0685,0.2267
DELANTERO,1,XL,corte,43,5.8560,0.5077
DELANTERO,1,XL,corte,44,5.6441,0.7905
DELANTERO,1,XL,corte,45,5.4331,1.0752
