pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,XS,costura,0,-1.7000,9.2000
DELANTERO,1,XS,costura,1,0.0000,9.2000
DELANTERO,1,XS,costura,2,0.2394,8.9877
DELANTERO,1,XS,costura,3,0.4776,8.7745
DELANTERO,1,XS,costura,4,0.7136,8.5596
DELANTERO,1,XS,costura,5,0.9462,8.3419
DELANTERO,1,XS,costura,6,1.1743,8.1207
DELANTERO,1,XS,costura,7,1.3967,7.8950
DELANTERO,1,XS,costura,8,1.6124,7.6640
DELANTERO,1,XS,costura,9,1.8202,7.4267
DELANTERO,1,XS,costura,10,2.0191,7.1824
DELANTERO,1,XS,costura,11,2.2094,6.9312
DELANTERO,1,XS,costura,12,2.3921,6.6739
DELANTERO,1,XS,costura,13,2.5680,6.4113
DELANTERO,1,XS,costura,14,2.7382,6.1441
DELANTERO,1,XS,costura,15,2.9035,5.8729
DELANTERO,1,XS,costura,16,3.0651,5.5987
DELANTERO,1,XS,costura,17,3.2238,5.3221
DELANTERO,1,XS,costura,18,3.3805,5.0439
DELANTERO,1,XS,costura,19,3.5363,4.7648
DELANTERO,1,XS,costura,20,3.6921,4.4855
DELANTERO,1,XS,costura,21,3.8489,4.2069
DELANTERO,1,XS,costura,22,4.0076,3.9296
DELANTERO,1,XS,costura,23,4.1692,3.6544
DELANTERO,1,XS,costura,24,4.3344,3.3819
DELANTERO,1,XS,costura,25,4.5030,3.1119
DELANTERO,1,XS,costura,26,4.6749,2.8443
DELANTERO,1,XS,costura,27,4.8497,2.5788
DELANTERO,1,XS,costura,28,5.0271,2.3153
DELANTERO,1,XS,costura,29,5.2069,2.0536
DELANTERO,1,XS,costura,30,5.3889,1.7934
DELANTERO,1,XS,costura,31,5.5727,1.5347
DELANTERO,1,XS,costura,32,5.7582,1.2771
DELANTERO,1,XS,costura,33,5.9449,1.0205
DELANTERO,1,XS,costura,34,6.1328,0.7647
DELANTERO,1,XS,costura,35,6.3214,0.5095
DELANTERO,1,XS,costura,36,6.5106,0.2546
DELANTERO,1,XS,costura,37,6.7000,0.0000
DELANTERO,1,XS,costura,38,17.6087,5.0000
DELANTERO,1,XS,costura,39,17.4052,5.5434
DELANTERO,1,XS,costura,40,17.2047,6.0862
DELANTERO,1,XS,costura,41,17.0101,6.6278
DELANTERO,1,XS,costura,42,16.8244,7.1674
DELANTERO,1,XS,costura,43,16.6506,7.7045
DELANTERO,1,XS,costura,44,16.4917,8.2385
DELANTERO,1,XS,costura,45,16.3506,8.7686
DELANTERO,1,XS,costura,46,16.2303,9.2943
DELANTERO,1,XS,costura,47,16.1338,9.8149
DELANTERO,1,XS,costura,48,16.0640,10.3299
DELANTERO,1,XS,costura,49,16.0240,10.8385
DELANTERO,1,XS,costura,50,16.0166,11.3401
DELANTERO,1,XS,costura,51,16.0449,11.8342
DELANTERO,1,XS,costura,52,16.1119,12.3200
DELANTERO,1,XS,costura,53,16.2204,12.7969
DELANTERO,1,XS,costura,54,16.3730,13.2645
DELANTERO,1,XS,costura,55,16.5673,13.7229
DELANTERO,1,XS,costura,56,16.7992,14.1728
DELANTERO,1,XS,costura,57,17.0642,14.6148
DELANTERO,1,XS,costura,58,17.3580,15.0496
DELANTERO,1,XS,costura,59,17.6763,15.4779
DELANTERO,1,XS,costura,60,18.0146,15.9002
DELANTERO,1,XS,costura,61,18.3688,16.3172
DELANTERO,1,XS,costura,62,18.7343,16.7295
DELANTERO,1,XS,costura,63,19.1069,17.1378
DELANTERO,1,XS,costura,64,19.4823,17.5427
DELANTERO,1,XS,costura,65,19.8560,17.9449
DELANTERO,1,XS,costura,66,20.2241,18.3449
DELANTERO,1,XS,costura,67,20.5856,18.7431
DELANTERO,1,XS,costura,68,20.9413,19.1399
DELANTERO,1,XS,costura,69,21.2920,19.5352
DELANTERO,1,XS,costura,70,21.6385,19.9295
DELANTERO,1,XS,costura,71,21.9818,20.3229
DELANTERO,1,XS,costura,72,22.3226,20.7156
DELANTERO,1,XS,costura,73,22.6617,21.1079
DELANTERO,1,XS,costura,74,23.0000,21.5000
DELANTERO,1,XS,costura,75,23.0000,66.0000
DELANTERO,1,XS,costura,76,-1.7000,66.0000
DELANTERO,1,XS,corte,0,-2.7000,67.0000
DELANTERO,1,XS,corte,1,24.0000,67.0000
DELANTERO,1,XS,corte,2,24.0000,21.1282
DELANTERO,1,XS,corte,3,23.4182,20.4539
DELANTERO,1,XS,corte,4,23.0785,20.0610
