pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,XXL,costura,0,-1.7000,10.2000
DELANTERO,1,XXL,costura,1,0.0000,10.2000
DELANTERO,1,XXL,costura,2,0.2732,9.9666
DELANTERO,1,XXL,costura,3,0.5452,9.7322
DELANTERO,1,XXL,costura,4,0.8147,9.4957
DELANTERO,1,XXL,costura,5,1.0804,9.2561
DELANTERO,1,XXL,costura,6,1.3411,9.0125
DELANTERO,1,XXL,costura,7,1.5956,8.7637
DELANTERO,1,XXL,costura,8,1.8426,8.5088
DELANTERO,1,XXL,costura,9,2.0809,8.2467
DELANTERO,1,XXL,costura,10,2.3092,7.9765
DELANTERO,1,XXL,costura,11,2.5280,7.6983
DELANTERO,1,XXL,costura,12,2.7381,7.4131
DELANTERO,1,XXL,costura,13,2.9407,7.1217
DELANTERO,1,XXL,costura,14,3.1368,6.8249
DELANTERO,1,XXL,costura,15,3.3276,6.5236
DELANTERO,1,XXL,costura,16,3.5141,6.2187
DELANTERO,1,XXL,costura,17,3.6973,5.9111
DELANTERO,1,XXL,costura,18,3.8784,5.6015
DELANTERO,1,XXL,costura,19,4.0584,5.2909
DELANTERO,1,XXL,costura,20,4.2384,4.9801
DELANTERO,1,XXL,costura,21,4.4195,4.6701
DELANTERO,1,XXL,costura,22,4.6027,4.3615
DELANTERO,1,XXL,costura,23,4.7892,4.0554
DELANTERO,1,XXL,costura,24,4.9796,3.7524
DELANTERO,1,XXL,costura,25,5.1739,3.4523
DELANTERO,1,XXL,costura,26,5.3718,3.1550
DELANTERO,1,XXL,costura,27,5.5730,2.8602
DELANTERO,1,XXL,costura,28,5.7772,2.5677
DELANTERO,1,XXL,costura,29,5.9841,2.2772
DELANTERO,1,XXL,costura,30,6.1934,1.9886
DELANTERO,1,XXL,costura,31,6.4047,1.7015
DELANTERO,1,XXL,costura,32,6.6179,1.4158
DELANTERO,1,XXL,costura,33,6.8325,1.1313
DELANTERO,1,XXL,costura,34,7.0483,0.8477
DELANTERO,1,XXL,costura,35,7.2651,0.5647
DELANTERO,1,XXL,costura,36,7.4824,0.2823
DELANTERO,1,XXL,costura,37,7.7000,0.0000
DELANTERO,1,XXL,costura,38,21.3107,5.0000
DELANTERO,1,XXL,costura,39,21.0932,5.6379
DELANTERO,1,XXL,costura,40,20.8790,6.2750
DELANTERO,1,XXL,costura,41,20.6715,6.9104
DELANTERO,1,XXL,costura,42,20.4740,7.5435
DELANTERO,1,XXL,costura,43,20.2898,8.1732
DELANTERO,1,XXL,costura,44,20.1222,8.7989
DELANTERO,1,XXL,costura,45,19.9745,9.4197
DELANTERO,1,XXL,costura,46,19.8501,10.0348
DELANTERO,1,XXL,costura,47,19.7524,10.6434
DELANTERO,1,XXL,costura,48,19.6845,11.2447
DELANTERO,1,XXL,costura,49,19.6499,11.8379
DELANTERO,1,XXL,costura,50,19.6519,12.4221
DELANTERO,1,XXL,costura,51,19.6937,12.9965
DELANTERO,1,XXL,costura,52,19.7788,13.5604
DELANTERO,1,XXL,costura,53,19.9105,14.1128
DELANTERO,1,XXL,costura,54,20.0918,14.6531
DELANTERO,1,XXL,costura,55,20.3223,15.1812
DELANTERO,1,XXL,costura,56,20.5969,15.6980
DELANTERO,1,XXL,costura,57,20.9108,16.2043
DELANTERO,1,XXL,costura,58,21.2588,16.7011
DELANTERO,1,XXL,costura,59,21.6359,17.1892
DELANTERO,1,XXL,costura,60,22.0371,17.6694
DELANTERO,1,XXL,costura,61,22.4574,18.1427
DELANTERO,1,XXL,costura,62,22.8916,18.6100
DELANTERO,1,XXL,costura,63,23.3349,19.0722
DELANTERO,1,XXL,costura,64,23.7822,19.5300
DELANTERO,1,XXL,costura,65,24.2283,19.9844
DELANTERO,1,XXL,costura,66,24.6686,20.4363
DELANTERO,1,XXL,costura,67,25.1014,20.8862
DELANTERO,1,XXL,costura,68,25.5276,21.3343
DELANTERO,1,XXL,costura,69,25.9483,21.7809
DELANTERO,1,XXL,costura,70,26.3643,22.2262
DELANTERO,1,XXL,costura,71,26.7765,22.6706
