pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,S,costura,0,-1.7000,9.4000
DELANTERO,1,S,costura,1,0.0000,9.4000
DELANTERO,1,S,costura,2,0.2509,8.9906
DELANTERO,1,S,costura,3,0.5006,8.7802
DELANTERO,1,S,costura,4,0.7481,8.5679
DELANTERO,1,S,costura,5,0.9922,8.3528
DELANTERO,1,S,costura,6,1.2319,8.1340
DELANTERO,1,S,costura,7,1.4658,7.9104
DELANTERO,1,S,costura,8,1.6931,7.6811
DELANTERO,1,S,costura,9,1.9124,7.4453
DELANTERO,1,S,costura,10,2.1229,7.2020
DELANTERO,1,S,costura,11,2.3245,6.9513
DELANTERO,1,S,costura,12,2.5184,6.6940
DELANTERO,1,S,costura,13,2.7055,6.4310
DELANTERO,1,S,costura,14,2.8867,6.1631
DELANTERO,1,S,costura,15,3.0630,5.8909
DELANTERO,1,S,costura,16,3.2354,5.6154
DELANTERO,1,S,costura,17,3.4049,5.3374
DELANTERO,1,S,costura,18,3.5724,5.0576
DELANTERO,1,S,costura,19,3.7389,4.7768
DELANTERO,1,S,costura,20,3.9054,4.4958
DELANTERO,1,S,costura,21,4.0729,4.2155
DELANTERO,1,S,costura,22,4.2423,3.9366
DELANTERO,1,S,costura,23,4.4146,3.6600
DELANTERO,1,S,costura,24,4.5906,3.3862
DELANTERO,1,S,costura,25,4.7701,3.1151
DELANTERO,1,S,costura,26,4.9528,2.8466
DELANTERO,1,S,costura,27,5.1385,2.5804
DELANTERO,1,S,costura,28,5.3270,2.3163
DELANTERO,1,S,costura,29,5.5178,2.0542
DELANTERO,1,S,costura,30,5.7108,1.7937
DELANTERO,1,S,costura,31,5.9058,1.5347
DELANTERO,1,S,costura,32,6.1023,1.2770
DELANTERO,1,S,costura,33,6.3002,1.0203
DELANTERO,1,S,costura,34,6.4992,0.7645
DELANTERO,1,S,costura,35,6.6990,0.5093
DELANTERO,1,S,costura,36,6.8994,0.2545
DELANTERO,1,S,costura,37,7.1000,0.0000
DELANTERO,1,S,costura,38,18.3250,5.5000
DELANTERO,1,S,costura,39,18.2301,6.0457
DELANTERO,1,S,costura,40,18.1376,6.5908
DELANTERO,1,S,costura,41,18.0498,7.1350
