pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO (base entallada),1,S,costura,0,0.0000,9.4000
DELANTERO (base entallada),1,S,costura,1,0.2461,9.1835
DELANTERO (base entallada),1,S,costura,2,0.4911,8.9661
DELANTERO (base entallada),1,S,costura,3,0.7338,8.7468
DELANTERO (base entallada),1,S,costura,4,0.9730,8.5248
DELANTERO (base entallada),1,S,costura,5,1.2077,8.2991
DELANTERO (base entallada),1,S,costura,6,1.4365,8.0688
DELANTERO (base entallada),1,S,costura,7,1.6585,7.8329
DELANTERO (base entallada),1,S,costura,8,1.8724,7.5907
DELANTERO (base entallada),1,S,costura,9,2.0772,7.3412
DELANTERO (base entallada),1,S,costura,10,2.2732,7.0846
DELANTERO (base entallada),1,S,costura,11,2.4613,6.8218
DELANTERO (base entallada),1,S,costura,12,2.6426,6.5534
DELANTERO (base entallada),1,S,costura,13,2.8179,6.2802
DELANTERO (base entallada),1,S,costura,14,2.9884,6.0031
DELANTERO (base entallada),1,S,costura,15,3.1549,5.7227
DELANTERO (base entallada),1,S,costura,16,3.3185,5.4399
DELANTERO (base entallada),1,S,costura,17,3.4801,5.1554
DELANTERO (base entallada),1,S,costura,18,3.6408,4.8700
DELANTERO (base entallada),1,S,costura,19,3.8014,4.5845
DELANTERO (base entallada),1,S,costura,20,3.9631,4.2995
DELANTERO (base entallada),1,S,costura,21,4.1267,4.0160
DELANTERO (base entallada),1,S,costura,22,4.2932,3.7346
DELANTERO (base entallada),1,S,costura,23,4.4635,3.4560
DELANTERO (base entallada),1,S,costura,24,4.6372,3.1800
DELANTERO (base entallada),1,S,costura,25,4.8143,2.9064
DELANTERO (base entallada),1,S,costura,26,4.9943,2.6351
DELANTERO (base entallada),1,S,costura,27,5.1771,2.3658
DELANTERO (base entallada),1,S,costura,28,5.3624,2.0983
DELANTERO (base entallada),1,S,costura,29,5.5498,1.8325
DELANTERO (base entallada),1,S,costura,30,5.7391,1.5680
DELANTERO (base entallada),1,S,costura,31,5.9301,1.3048
DELANTERO (base entallada),1,S,costura,32,6.1224,1.0427
DELANTERO (base entallada),1,S,costura,33,6.3159,0.7813
DELANTERO (base entallada),1,S,costura,34,6.5101,0.5205
DELANTERO (base entallada),1,S,costura,35,6.7049,0.2602
DELANTERO (base entallada),1,S,costura,36,6.9000,0.0000
DELANTERO (base entallada),1,S,costura,37,18.3564,5.0000
DELANTERO (base entallada),1,S,costura,38,18.1496,5.5623
DELANTERO (base entallada),1,S,costura,39,17.9458,6.1239
DELANTERO (base entallada),1,S,costura,40,17.7481,6.6841
DELANTERO (base entallada),1,S,costura,41,17.5595,7.2424
DELANTERO (base entallada),1,S,costura,42,17.3831,7.7980
DELANTERO (base entallada),1,S,costura,43,17.2220,8.3502
DELANTERO (base entallada),1,S,costura,44,17.0791,8.8984
DELANTERO (base entallada),1,S,costura,45,16.9575,9.4419
DELANTERO (base entallada),1,S,costura,46,16.8602,9.9801
DELANTERO (base entallada),1,S,costura,47,16.7904,10.5123
DELANTERO (base entallada),1,S,costura,48,16.7510,11.0378
DELANTERO (base entallada),1,S,costura,49,16.7452,11.5559
DELANTERO (base entallada),1,S,costura,50,16.7758,12.0660
DELANTERO (base entallada),1,S,costura,51,16.8461,12.5674
DELANTERO (base entallada),1,S,costura,52,16.9589,13.0594
DELANTERO (base entallada),1,S,costura,53,17.1170,13.5414
DELANTERO (base entallada),1,S,costura,54,17.3184,14.0138
DELANTERO (base entallada),1,S,costura,55,17.5587,14.4771
DELANTERO (base entallada),1,S,costura,56,17.8334,14.9320
DELANTERO (base entallada),1,S,costura,57,18.1380,15.3792
DELANTERO (base entallada),1,S,costura,58,18.4680,15.8194
DELANTERO (base entallada),1,S,costura,59,18.8190,16.2534
DELANTERO (base entallada),1,S,costura,60,19.1863,16.6817
DELANTERO (base entallada),1,S,costura,61,19.5657,17.1050
DELANTERO (base entallada),1,S,costura,62,19.9525,17.5241
DELANTERO (base entallada),1,S,costura,63,20.3422,17.9397
DELANTERO (base entallada),1,S,costura,64,20.7305,18.3524
DELANTERO (base entallada),1,S,costura,65,21.1130,18.7628
DELANTERO (base entallada),1,S,costura,66,21.4888,19.1714
DELANTERO (base entallada),1,S,costura,67,21.8586,19.5785
DELANTERO (base entallada),1,S,costura,68,22.2233,19.9842
DELANTERO (base entallada),1,S,costura,69,22.5837,20.3887
DELANTERO (base entallada),1,S,costura,70,22.9408,20.7923
DELANTERO (base entallada),1,S,costura,71,23.2953,21.1953
DELANTERO (base entallada),1,S,costura,72,23.6481,21.5977
DELANTERO (base entallada),1,S,costura,73,24.0000,22.0000
DELANTERO (base entallada),1,S,costura,74,11.3000,23.5000
DELANTERO (base entallada),1,S,costura,75,24.0000,25.0000
DELANTERO (base entallada),1,S,costura,76,23.8381,26.6639
DELANTERO (base entallada),1,S,costura,77,23.6782,28.3280
DELANTERO (base entallada),1,S,costura,78,23.5225,29.9923
DELANTERO (base entallada),1,S,costura,79,23.3730,31.6571
DELANTERO (base entallada),1,S,costura,80,23.2317,33.3226
DELANTERO (base entallada),1,S,costura,81,23.1008,34.9888
DELANTERO (base entallada),1,S,costura,82,22.9817,36.6559
DELANTERO (base entallada),1,S,costura,83,22.8729,38.3238
DELANTERO (base entallada),1,S,costura,84,22.7724,39.9923
DELANTERO (base entallada),1,S,costura,85,22.6782,41.6613
DELANTERO (base entallada),1,S,costura,86,22.5880,43.3306
DELANTERO (base entallada),1,S,costura,87,22.5000,45.0000
DELANTERO (base entallada),1,S,costura,88,11.0500,45.0000
DELANTERO (base entallada),1,S,costura,89,9.3000,26.5000
DELANTERO (base entallada),1,S,costura,90,7.5500,45.0000
DELANTERO (base entallada),1,S,costura,91,0.0000,45.0000
DELANTERO (base entallada),1,S,corte,0,9.3000,37.1186
DELANTERO (base entallada),1,S,corte,1,10.1401,46.0000
DELANTERO (base entallada),1,S,corte,2,23.4487,46.0000
DELANTERO (base entallada),1,S,corte,3,23.5866,43.3838
DELANTERO (base entallada),1,S,corte,4,23.6766,41.7164
DELANTERO (base entallada),1,S,corte,5,23.7707,40.0506
DELANTERO (base entallada),1,S,corte,6,23.8709,38.3864
DELANTERO (base entallada),1,S,corte,7,23.9794,36.7241
DELANTERO (base entallada),1,S,corte,8,24.0980,35.0636
DELANTERO (base entallada),1,S,corte,9,24.2284,33.4040
DELANTERO (base entallada),1,S,corte,10,24.3692,31.7441
DELANTERO (base entallada),1,S,corte,11,24.5183,30.0836
DELANTERO (base entallada),1,S,corte,12,24.6737,28.4223
DELANTERO (base entallada),1,S,corte,13,24.8334,26.7601
DELANTERO (base entallada),1,S,corte,14,25.0902,24.1218
DELANTERO (base entallada),1,S,corte,15,19.8255,23.5000
DELANTERO (base entallada),1,S,corte,16,26.0027,22.7704
DELANTERO (base entallada),1,S,corte,17,24.4001,20.9386
DELANTERO (base entallada),1,S,corte,18,24.0467,20.5354
DELANTERO (base entallada),1,S,corte,19,23.6907,20.1308
DELANTERO (base entallada),1,S,corte,20,23.3316,19.7248
DELANTERO (base entallada),1,S,corte,21,22.9684,19.3173
DELANTERO (base entallada),1,S,corte,22,22.6005,18.9080
DELANTERO (base entallada),1,S,corte,23,22.2269,18.4968
DELANTERO (base entallada),1,S,corte,24,21.8468,18.0835
DELANTERO (base entallada),1,S,corte,25,21.4604,17.6688
DELANTERO (base entallada),1,S,corte,26,21.0711,17.2550
DELANTERO (base entallada),1,S,corte,27,20.6846,16.8430
DELANTERO (base entallada),1,S,corte,28,20.3055,16.4322
DELANTERO (base entallada),1,S,corte,29,19.9383,16.0224
DELANTERO (base entallada),1,S,corte,30,19.5874,15.6133
DELANTERO (base entallada),1,S,corte,31,19.2571,15.2049
DELANTERO (base entallada),1,S,corte,32,18.9518,14.7975
DELANTERO (base entallada),1,S,corte,33,18.6753,14.3917
DELANTERO (base entallada),1,S,corte,34,18.4315,13.9879
DELANTERO (base entallada),1,S,corte,35,18.2235,13.5868
DELANTERO (base entallada),1,S,corte,36,18.0538,13.1889
DELANTERO (base entallada),1,S,corte,37,17.9234,12.7912
DELANTERO (base entallada),1,S,corte,38,17.8304,12.3859
DELANTERO (base entallada),1,S,corte,39,17.7716,11.9664
DELANTERO (base entallada),1,S,corte,40,17.7455,11.5315
DELANTERO (base entallada),1,S,corte,41,17.7506,11.0808
DELANTERO (base entallada),1,S,corte,42,17.7855,10.6148
DELANTERO (base entallada),1,S,corte,43,17.8486,10.1342
DELANTERO (base entallada),1,S,corte,44,17.9379,9.6401
DELANTERO (base entallada),1,S,corte,45,18.0511,9.1337
DELANTERO (base entallada),1,S,corte,46,18.1860,8.6164
DELANTERO (base entallada),1,S,corte,47,18.3398,8.0894
DELANTERO (base entallada),1,S,corte,48,18.5099,7.5537
DELANTERO (base entallada),1,S,corte,49,18.6933,7.0105
DELANTERO (base entallada),1,S,corte,50,18.8873,6.4608
DELANTERO (base entallada),1,S,corte,51,19.0889,5.9055
DELANTERO (base entallada),1,S,corte,52,19.6204,4.4605
DELANTERO (base entallada),1,S,corte,53,6.5747,-1.2331
DELANTERO (base entallada),1,S,corte,54,5.9045,-0.3393
DELANTERO (base entallada),1,S,corte,55,5.7088,-0.0777
DELANTERO (base entallada),1,S,corte,56,5.5130,0.1851
DELANTERO (base entallada),1,S,corte,57,5.3174,0.4495
DELANTERO (base entallada),1,S,corte,58,5.1223,0.7154
DELANTERO (base entallada),1,S,corte,59,4.9279,0.9833
DELANTERO (base entallada),1,S,corte,60,4.7346,1.2533
DELANTERO (base entallada),1,S,corte,61,4.5427,1.5255
DELANTERO (base entallada),1,S,corte,62,4.3524,1.8003
DELANTERO (base entallada),1,S,corte,63,4.1640,2.0778
DELANTERO (base entallada),1,S,corte,64,3.9779,2.3583
DELANTERO (base entallada),1,S,corte,65,3.7943,2.6419
DELANTERO (base entallada),1,S,corte,66,3.6136,2.9289
DELANTERO (base entallada),1,S,corte,67,3.4362,3.2192
DELANTERO (base entallada),1,S,corte,68,3.2633,3.5114
DELANTERO (base entallada),1,S,corte,69,3.0951,3.8029
DELANTERO (base entallada),1,S,corte,70,2.9308,4.0926
DELANTERO (base entallada),1,S,corte,71,2.7693,4.3796
DELANTERO (base entallada),1,S,corte,72,2.6097,4.6632
DELANTERO (base entallada),1,S,corte,73,2.4509,4.9426
DELANTERO (base entallada),1,S,corte,74,2.2922,5.2170
DELANTERO (base entallada),1,S,corte,75,2.1326,5.4858
DELANTERO (base entallada),1,S,corte,76,1.9712,5.7481
DELANTERO (base entallada),1,S,corte,77,1.8073,6.0034
DELANTERO (base entallada),1,S,corte,78,1.6402,6.2508
DELANTERO (base entallada),1,S,corte,79,1.4691,6.4900
DELANTERO (base entallada),1,S,corte,80,1.2932,6.7202
DELANTERO (base entallada),1,S,corte,81,1.1109,6.9423
DELANTERO (base entallada),1,S,corte,82,0.9194,7.1591
DELANTERO (base entallada),1,S,corte,83,0.7177,7.3735
DELANTERO (base entallada),1,S,corte,84,0.5063,7.5862
DELANTERO (base entallada),1,S,corte,85,0.2862,7.7979
DELANTERO (base entallada),1,S,corte,86,0.0584,8.0093
DELANTERO (base entallada),1,S,corte,87,0.0000,8.0621
DELANTERO (base entallada),1,S,corte,88,0.0000,46.0000
DELANTERO (base entallada),1,S,corte,89,8.4599,46.0000
DELANTERO (base entallada),1,S,corte,90,9.3000,37.1186
ESPALDA (base entallada),2,S,costura,0,0.0000,2.0000
ESPALDA (base entallada),2,S,costura,1,0.2525,2.0004
ESPALDA (base entallada),2,S,costura,2,0.5048,2.0001
ESPALDA (base entallada),2,S,costura,3,0.7571,1.9987
ESPALDA (base entallada),2,S,costura,4,1.0090,1.9955
ESPALDA (base entallada),2,S,costura,5,1.2607,1.9899
ESPALDA (base entallada),2,S,costura,6,1.5120,1.9813
ESPALDA (base entallada),2,S,costura,7,1.7628,1.9692
ESPALDA (base entallada),2,S,costura,8,2.0131,1.9529
ESPALDA (base entallada),2,S,costura,9,2.2628,1.9319
ESPALDA (base entallada),2,S,costura,10,2.5117,1.9055
ESPALDA (base entallada),2,S,costura,11,2.7599,1.8732
ESPALDA (base entallada),2,S,costura,12,3.0072,1.8344
ESPALDA (base entallada),2,S,costura,13,3.2536,1.7884
ESPALDA (base entallada),2,S,costura,14,3.4989,1.7349
ESPALDA (base entallada),2,S,costura,15,3.7429,1.6740
ESPALDA (base entallada),2,S,costura,16,3.9853,1.6058
ESPALDA (base entallada),2,S,costura,17,4.2258,1.5305
ESPALDA (base entallada),2,S,costura,18,4.4642,1.4481
ESPALDA (base entallada),2,S,costura,19,4.7001,1.3589
ESPALDA (base entallada),2,S,costura,20,4.9333,1.2628
ESPALDA (base entallada),2,S,costura,21,5.1636,1.1602
ESPALDA (base entallada),2,S,costura,22,5.3906,1.0511
ESPALDA (base entallada),2,S,costura,23,5.6141,0.9356
ESPALDA (base entallada),2,S,costura,24,5.8339,0.8140
ESPALDA (base entallada),2,S,costura,25,6.0502,0.6868
ESPALDA (base entallada),2,S,costura,26,6.2636,0.5549
ESPALDA (base entallada),2,S,costura,27,6.4747,0.4194
ESPALDA (base entallada),2,S,costura,28,6.6841,0.2812
ESPALDA (base entallada),2,S,costura,29,6.8924,0.1410
ESPALDA (base entallada),2,S,costura,30,7.1000,0.0000
ESPALDA (base entallada),2,S,costura,31,12.5310,2.2500
ESPALDA (base entallada),2,S,costura,32,9.4500,10.2500
ESPALDA (base entallada),2,S,costura,33,13.3310,2.2500
ESPALDA (base entallada),2,S,costura,34,18.7619,4.5000
ESPALDA (base entallada),2,S,costura,35,18.6778,5.0385
ESPALDA (base entallada),2,S,costura,36,18.5957,5.5767
ESPALDA (base entallada),2,S,costura,37,18.5173,6.1142
ESPALDA (base entallada),2,S,costura,38,18.4447,6.6506
ESPALDA (base entallada),2,S,costura,39,18.3797,7.1855
ESPALDA (base entallada),2,S,costura,40,18.3242,7.7187
ESPALDA (base entallada),2,S,costura,41,18.2801,8.2497
ESPALDA (base entallada),2,S,costura,42,18.2494,8.7781
ESPALDA (base entallada),2,S,costura,43,18.2339,9.3037
ESPALDA (base entallada),2,S,costura,44,18.2356,9.8261
ESPALDA (base entallada),2,S,costura,45,18.2563,10.3448
ESPALDA (base entallada),2,S,costura,46,18.2979,10.8596
ESPALDA (base entallada),2,S,costura,47,18.3624,11.3701
ESPALDA (base entallada),2,S,costura,48,18.4517,11.8759
ESPALDA (base entallada),2,S,costura,49,18.5675,12.3767
ESPALDA (base entallada),2,S,costura,50,18.7096,12.8724
ESPALDA (base entallada),2,S,costura,51,18.8759,13.3632
ESPALDA (base entallada),2,S,costura,52,19.0642,13.8492
ESPALDA (base entallada),2,S,costura,53,19.2723,14.3307
ESPALDA (base entallada),2,S,costura,54,19.4983,14.8077
ESPALDA (base entallada),2,S,costura,55,19.7397,15.2805
ESPALDA (base entallada),2,S,costura,56,19.9947,15.7492
ESPALDA (base entallada),2,S,costura,57,20.2609,16.2141
ESPALDA (base entallada),2,S,costura,58,20.5362,16.6752
ESPALDA (base entallada),2,S,costura,59,20.8185,17.1328
ESPALDA (base entallada),2,S,costura,60,21.1057,17.5870
ESPALDA (base entallada),2,S,costura,61,21.3956,18.0381
ESPALDA (base entallada),2,S,costura,62,21.6860,18.4861
ESPALDA (base entallada),2,S,costura,63,21.9761,18.9313
ESPALDA (base entallada),2,S,costura,64,22.2659,19.3742
ESPALDA (base entallada),2,S,costura,65,22.5554,19.8150
ESPALDA (base entallada),2,S,costura,66,22.8446,20.2540
ESPALDA (base entallada),2,S,costura,67,23.1336,20.6917
ESPALDA (base entallada),2,S,costura,68,23.4225,21.1284
ESPALDA (base entallada),2,S,costura,69,23.7113,21.5644
ESPALDA (base entallada),2,S,costura,70,24.0000,22.0000
ESPALDA (base entallada),2,S,costura,71,23.8381,23.6639
ESPALDA (base entallada),2,S,costura,72,23.6782,25.3280
ESPALDA (base entallada),2,S,costura,73,23.5225,26.9923
ESPALDA (base entallada),2,S,costura,74,23.3730,28.6571
ESPALDA (base entallada),2,S,costura,75,23.2317,30.3226
ESPALDA (base entallada),2,S,costura,76,23.1008,31.9888
ESPALDA (base entallada),2,S,costura,77,22.9817,33.6559
ESPALDA (base entallada),2,S,costura,78,22.8729,35.3238
ESPALDA (base entallada),2,S,costura,79,22.7724,36.9923
ESPALDA (base entallada),2,S,costura,80,22.6782,38.6613
ESPALDA (base entallada),2,S,costura,81,22.5880,40.3306
ESPALDA (base entallada),2,S,costura,82,22.5000,42.0000
ESPALDA (base entallada),2,S,costura,83,11.2000,42.0000
ESPALDA (base entallada),2,S,costura,84,9.4500,30.0000
ESPALDA (base entallada),2,S,costura,85,7.7000,42.0000
ESPALDA (base entallada),2,S,costura,86,0.0000,42.0000
ESPALDA (base entallada),2,S,corte,0,9.4500,36.9297
ESPALDA (base entallada),2,S,corte,1,10.3353,43.0000
ESPALDA (base entallada),2,S,corte,2,23.4487,43.0000
ESPALDA (base entallada),2,S,corte,3,23.5866,40.3838
ESPALDA (base entallada),2,S,corte,4,23.6766,38.7164
ESPALDA (base entallada),2,S,corte,5,23.7707,37.0506
ESPALDA (base entallada),2,S,corte,6,23.8709,35.3864
ESPALDA (base entallada),2,S,corte,7,23.9794,33.7241
ESPALDA (base entallada),2,S,corte,8,24.0980,32.0636
ESPALDA (base entallada),2,S,corte,9,24.2284,30.4040
ESPALDA (base entallada),2,S,corte,10,24.3692,28.7441
ESPALDA (base entallada),2,S,corte,11,24.5183,27.0836
ESPALDA (base entallada),2,S,corte,12,24.6737,25.4223
ESPALDA (base entallada),2,S,corte,13,24.8334,23.7601
ESPALDA (base entallada),2,S,corte,14,25.0297,21.7435
ESPALDA (base entallada),2,S,corte,15,24.5449,21.0120
ESPALDA (base entallada),2,S,corte,16,24.2563,20.5764
ESPALDA (base entallada),2,S,corte,17,23.9678,20.1403
ESPALDA (base entallada),2,S,corte,18,23.6794,19.7035
ESPALDA (base entallada),2,S,corte,19,23.3908,19.2655
ESPALDA (base entallada),2,S,corte,20,23.1022,18.8260
ESPALDA (base entallada),2,S,corte,21,22.8135,18.3846
ESPALDA (base entallada),2,S,corte,22,22.5245,17.9411
ESPALDA (base entallada),2,S,corte,23,22.2357,17.4957
ESPALDA (base entallada),2,S,corte,24,21.9490,17.0495
ESPALDA (base entallada),2,S,corte,25,21.6667,16.6031
ESPALDA (base entallada),2,S,corte,26,21.3911,16.1563
ESPALDA (base entallada),2,S,corte,27,21.1241,15.7092
ESPALDA (base entallada),2,S,corte,28,20.8679,15.2618
ESPALDA (base entallada),2,S,corte,29,20.6244,14.8141
ESPALDA (base entallada),2,S,corte,30,20.3956,14.3662
ESPALDA (base entallada),2,S,corte,31,20.1834,13.9181
ESPALDA (base entallada),2,S,corte,32,19.9897,13.4700
ESPALDA (base entallada),2,S,corte,33,19.8161,13.0220
