pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO (escote barco),1,S,costura,0,-1.7000,6.4000
DELANTERO (escote barco),1,S,costura,1,0.0000,6.4000
DELANTERO (escote barco),1,S,costura,2,0.9369,6.4123
DELANTERO (escote barco),1,S,costura,3,1.8670,6.4099
DELANTERO (escote barco),1,S,costura,4,2.7833,6.3782
DELANTERO (escote barco),1,S,costura,5,3.6790,6.3025
DELANTERO (escote barco),1,S,costura,6,4.5472,6.1682
DELANTERO (escote barco),1,S,costura,7,5.3811,5.9605
DELANTERO (escote barco),1,S,costura,8,6.1738,5.6651
DELANTERO (escote barco),1,S,costura,9,6.9226,5.2757
DELANTERO (escote barco),1,S,costura,10,7.6316,4.8017
DELANTERO (escote barco),1,S,costura,11,8.3059,4.2534
DELANTERO (escote barco),1,S,costura,12,8.9504,3.6416
DELANTERO (escote barco),1,S,costura,13,9.5701,2.9769
DELANTERO (escote barco),1,S,costura,14,10.1700,2.2697
DELANTERO (escote barco),1,S,costura,15,10.7549,1.5308
DELANTERO (escote barco),1,S,costura,16,11.3299,0.7707
DELANTERO (escote barco),1,S,costura,17,11.9000,0.0000
DELANTERO (escote barco),1,S,costura,18,18.3564,5.0000
DELANTERO (escote barco),1,S,costura,19,18.1496,5.5623
DELANTERO (escote barco),1,S,costura,20,17.9458,6.1239
DELANTERO (escote barco),1,S,costura,21,17.7481,6.6841
DELANTERO (escote barco),1,S,costura,22,17.5595,7.2424
DELANTERO (escote barco),1,S,costura,23,17.3831,7.7980
DELANTERO (escote barco),1,S,costura,24,17.2220,8.3502
DELANTERO (escote barco),1,S,costura,25,17.0791,8.8984
DELANTERO (escote barco),1,S,costura,26,16.9575,9.4419
DELANTERO (escote barco),1,S,costura,27,16.8602,9.9801
DELANTERO (escote barco),1,S,costura,28,16.7904,10.5123
DELANTERO (escote barco),1,S,costura,29,16.7510,11.0378
DELANTERO (escote barco),1,S,costura,30,16.7452,11.5559
DELANTERO (escote barco),1,S,costura,31,16.7758,12.0660
DELANTERO (escote barco),1,S,costura,32,16.8461,12.5674
DELANTERO (escote barco),1,S,costura,33,16.9589,13.0594
