pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO (base entallada),1,S,costura,0,0.0000,7.5667
DELANTERO (base entallada),1,S,costura,1,0.2405,7.4023
DELANTERO (base entallada),1,S,costura,2,0.4802,7.2369
DELANTERO (base entallada),1,S,costura,3,0.7180,7.0698
DELANTERO (base entallada),1,S,costura,4,0.9531,6.8999
DELANTERO (base entallada),1,S,costura,5,1.1846,6.7264
DELANTERO (base entallada),1,S,costura,6,1.4116,6.5484
DELANTERO (base entallada),1,S,costura,7,1.6332,6.3648
DELANTERO (base entallada),1,S,costura,8,1.8485,6.1750
DELANTERO (base entallada),1,S,costura,9,2.0565,5.9778
DELANTERO (base entallada),1,S,costura,10,2.2572,5.7732
DELANTERO (base entallada),1,S,costura,11,2.4512,5.5618
DELANTERO (base entallada),1,S,costura,12,2.6394,5.3446
DELANTERO (base entallada),1,S,costura,13,2.8226,5.1222
DELANTERO (base entallada),1,S,costura,14,3.0016,4.8956
DELANTERO (base entallada),1,S,costura,15,3.1772,4.6655
DELANTERO (base entallada),1,S,costura,16,3.3503,4.4327
DELANTERO (base entallada),1,S,costura,17,3.5218,4.1981
DELANTERO (base entallada),1,S,costura,18,3.6923,3.9624
DELANTERO (base entallada),1,S,costura,19,3.8628,3.7266
DELANTERO (base entallada),1,S,costura,20,4.0340,3.4913
DELANTERO (base entallada),1,S,costura,21,4.2068,3.2574
DELANTERO (base entallada),1,S,costura,22,4.3820,3.0258
DELANTERO (base entallada),1,S,costura,23,4.5603,2.7970
DELANTERO (base entallada),1,S,costura,24,4.7416,2.5710
DELANTERO (base entallada),1,S,costura,25,4.9256,2.3476
DELANTERO (base entallada),1,S,costura,26,5.1122,2.1266
DELANTERO (base entallada),1,S,costura,27,5.3011,1.9078
DELANTERO (base entallada),1,S,costura,28,5.4920,1.6909
DELANTERO (base entallada),1,S,costura,29,5.6848,1.4758
DELANTERO (base entallada),1,S,costura,30,5.8792,1.2621
DELANTERO (base entallada),1,S,costura,31,6.0750,1.0498
DELANTERO (base entallada),1,S,costura,32,6.2720,0.8385
DELANTERO (base entallada),1,S,costura,33,6.4698,0.6281
DELANTERO (base entallada),1,S,costura,34,6.6684,0.4184
DELANTERO (base entallada),1,S,costura,35,6.8674,0.2091
DELANTERO (base entallada),1,S,costura,36,7.0667,0.0000
DELANTERO (base entallada),1,S,costura,37,18.2916,5.5000
DELANTERO (base entallada),1,S,costura,38,18.1147,6.0043
DELANTERO (base entallada),1,S,costura,39,17.9413,6.5080
DELANTERO (base entallada),1,S,costura,40,17.7748,7.0103
DELANTERO (base entallada),1,S,costura,41,17.6187,7.5107
DELANTERO (base entallada),1,S,costura,42,17.4766,8.0085
DELANTERO (base entallada),1,S,costura,43,17.3518,8.5030
DELANTERO (base entallada),1,S,costura,44,17.2479,8.9936
DELANTERO (base entallada),1,S,costura,45,17.1684,9.4796
DELANTERO (base entallada),1,S,costura,46,17.1166,9.9604
DELANTERO (base entallada),1,S,costura,47,17.0962,10.4353
DELANTERO (base entallada),1,S,costura,48,17.1106,10.9037
DELANTERO (base entallada),1,S,costura,49,17.1632,11.3649
DELANTERO (base entallada),1,S,costura,50,17.2574,11.8183
DELANTERO (base entallada),1,S,costura,51,17.3927,12.2638
DELANTERO (base entallada),1,S,costura,52,17.5655,12.7020
DELANTERO (base entallada),1,S,costura,53,17.7721,13.1333
DELANTERO (base entallada),1,S,costura,54,18.0089,13.5583
DELANTERO (base entallada),1,S,costura,55,18.2720,13.9774
DELANTERO (base entallada),1,S,costura,56,18.5578,14.3912
DELANTERO (base entallada),1,S,costura,57,18.8625,14.8001
DELANTERO (base entallada),1,S,costura,58,19.1826,15.2047
DELANTERO (base entallada),1,S,costura,59,19.5141,15.6054
DELANTERO (base entallada),1,S,costura,60,19.8535,16.0028
DELANTERO (base entallada),1,S,costura,61,20.1971,16.3973
DELANTERO (base entallada),1,S,costura,62,20.5410,16.7895
DELANTERO (base entallada),1,S,costura,63,20.8816,17.1799
DELANTERO (base entallada),1,S,costura,64,21.2157,17.5689
DELANTERO (base entallada),1,S,costura,65,21.5427,17.9567
DELANTERO (base entallada),1,S,costura,66,21.8635,18.3435
DELANTERO (base entallada),1,S,costura,67,22.1788,18.7294
DELANTERO (base entallada),1,S,costura,68,22.4895,19.1146
DELANTERO (base entallada),1,S,costura,69,22.7963,19.4991
DELANTERO (base entallada),1,S,costura,70,23.0999,19.8831
DELANTERO (base entallada),1,S,costura,71,23.4013,20.2667
DELANTERO (base entallada),1,S,costura,72,23.7010,20.6501
DELANTERO (base entallada),1,S,costura,73,24.0000,21.0333
DELANTERO (base entallada),1,S,costura,74,11.8333,23.0333
DELANTERO (base entallada),1,S,costura,75,24.0000,25.0333
DELANTERO (base entallada),1,S,costura,76,23.8381,26.6972
DELANTERO (base entallada),1,S,costura,77,23.6782,28.3613
DELANTERO (base entallada),1,S,costura,78,23.5225,30.0256
DELANTERO (base entallada),1,S,costura,79,23.3730,31.6905
DELANTERO (base entallada),1,S,costura,80,23.2317,33.3559
DELANTERO (base entallada),1,S,costura,81,23.1008,35.0221
DELANTERO (base entallada),1,S,costura,82,22.9817,36.6893
DELANTERO (base entallada),1,S,costura,83,22.8729,38.3571
DELANTERO (base entallada),1,S,costura,84,22.7724,40.0256
DELANTERO (base entallada),1,S,costura,85,22.6782,41.6946
DELANTERO (base entallada),1,S,costura,86,22.5880,43.3639
DELANTERO (base entallada),1,S,costura,87,22.5000,45.0333
DELANTERO (base entallada),1,S,costura,88,11.4333,45.0333
DELANTERO (base entallada),1,S,costura,89,9.8333,25.5333
DELANTERO (base entallada),1,S,costura,90,8.2333,45.0333
DELANTERO (base entallada),1,S,costura,91,0.0000,45.0333
DELANTERO (base entallada),1,S,corte,0,9.8333,37.7618
DELANTERO (base entallada),1,S,corte,1,10.5120,46.0333
DELANTERO (base entallada),1,S,corte,2,23.4487,46.0333
DELANTERO (base entallada),1,S,corte,3,23.5866,43.4172
DELANTERO (base entallada),1,S,corte,4,23.6766,41.7498
DELANTERO (base entallada),1,S,corte,5,23.7707,40.0839
DELANTERO (base entallada),1,S,corte,6,23.8709,38.4197
DELANTERO (base entallada),1,S,corte,7,23.9794,36.7574
DELANTERO (base entallada),1,S,corte,8,24.0980,35.0970
DELANTERO (base entallada),1,S,corte,9,24.2284,33.4373
DELANTERO (base entallada),1,S,corte,10,24.3692,31.7775
DELANTERO (base entallada),1,S,corte,11,24.5183,30.1169
DELANTERO (base entallada),1,S,corte,12,24.6737,28.4557
DELANTERO (base entallada),1,S,corte,13,24.8334,26.7935
DELANTERO (base entallada),1,S,corte,14,25.0860,24.1984
DELANTERO (base entallada),1,S,corte,15,17.9983,23.0333
DELANTERO (base entallada),1,S,corte,16,25.8249,21.7468
DELANTERO (base entallada),1,S,corte,17,24.4891,20.0346
DELANTERO (base entallada),1,S,corte,18,24.1883,19.6499
DELANTERO (base entallada),1,S,corte,19,23.8853,19.2641
DELANTERO (base entallada),1,S,corte,20,23.5793,18.8771
DELANTERO (base entallada),1,S,corte,21,23.2695,18.4888
DELANTERO (base entallada),1,S,corte,22,22.9552,18.0991
DELANTERO (base entallada),1,S,corte,23,22.6355,17.7079
DELANTERO (base entallada),1,S,corte,24,22.3098,17.3152
DELANTERO (base entallada),1,S,corte,25,21.9772,16.9208
DELANTERO (base entallada),1,S,corte,26,21.6377,16.5254
DELANTERO (base entallada),1,S,corte,27,21.2937,16.1311
DELANTERO (base entallada),1,S,corte,28,20.9501,15.7393
DELANTERO (base entallada),1,S,corte,29,20.6108,15.3497
DELANTERO (base entallada),1,S,corte,30,20.2796,14.9619
DELANTERO (base entallada),1,S,corte,31,19.9600,14.5757
DELANTERO (base entallada),1,S,corte,32,19.6558,14.1910
DELANTERO (base entallada),1,S,corte,33,19.3703,13.8080
DELANTERO (base entallada),1,S,corte,34,19.1072,13.4271
DELANTERO (base entallada),1,S,corte,35,18.8697,13.0488
DELANTERO (base entallada),1,S,corte,36,18.6607,12.6735
DELANTERO (base entallada),1,S,corte,37,18.4827,12.3020
DELANTERO (base entallada),1,S,corte,38,18.3378,11.9345
DELANTERO (base entallada),1,S,corte,39,18.2273,11.5708
DELANTERO (base entallada),1,S,corte,40,18.1516,11.2062
DELANTERO (base entallada),1,S,corte,41,18.1089,10.8316
DELANTERO (base entallada),1,S,corte,42,18.0969,10.4415
DELANTERO (base entallada),1,S,corte,43,18.1143,10.0355
DELANTERO (base entallada),1,S,corte,44,18.1597,9.6140
DELANTERO (base entallada),1,S,corte,45,18.2310,9.1781
DELANTERO (base entallada),1,S,corte,46,18.3261,8.7290
DELANTERO (base entallada),1,S,corte,47,18.4424,8.2682
DELANTERO (base entallada),1,S,corte,48,18.5769,7.7969
DELANTERO (base entallada),1,S,corte,49,18.7268,7.3165
DELANTERO (base entallada),1,S,corte,50,18.8887,6.8281
DELANTERO (base entallada),1,S,corte,51,19.0593,6.3327
DELANTERO (base entallada),1,S,corte,52,19.5293,4.9928
DELANTERO (base entallada),1,S,corte,53,6.8484,-1.2205
DELANTERO (base entallada),1,S,corte,54,6.1431,-0.4804
DELANTERO (base entallada),1,S,corte,55,5.9429,-0.2699
DELANTERO (base entallada),1,S,corte,56,5.7425,-0.0581
DELANTERO (base entallada),1,S,corte,57,5.5420,0.1550
DELANTERO (base entallada),1,S,corte,58,5.3417,0.3699
DELANTERO (base entallada),1,S,corte,59,5.1418,0.5867
DELANTERO (base entallada),1,S,corte,60,4.9426,0.8056
DELANTERO (base entallada),1,S,corte,61,4.7444,1.0268
DELANTERO (base entallada),1,S,corte,62,4.5473,1.2507
DELANTERO (base entallada),1,S,corte,63,4.3516,1.4774
DELANTERO (base entallada),1,S,corte,64,4.1576,1.7071
DELANTERO (base entallada),1,S,corte,65,3.9656,1.9402
DELANTERO (base entallada),1,S,corte,66,3.7758,2.1768
DELANTERO (base entallada),1,S,corte,67,3.5888,2.4168
DELANTERO (base entallada),1,S,corte,68,3.4059,2.6586
DELANTERO (base entallada),1,S,corte,69,3.2276,2.8999
DELANTERO (base entallada),1,S,corte,70,3.0532,3.1395
DELANTERO (base entallada),1,S,corte,71,2.8820,3.3764
DELANTERO (base entallada),1,S,corte,72,2.7130,3.6100
DELANTERO (base entallada),1,S,corte,73,2.5454,3.8393
DELANTERO (base entallada),1,S,corte,74,2.3785,4.0637
DELANTERO (base entallada),1,S,corte,75,2.2117,4.2823
DELANTERO (base entallada),1,S,corte,76,2.0442,4.4943
DELANTERO (base entallada),1,S,corte,77,1.8754,4.6992
DELANTERO (base entallada),1,S,corte,78,1.7048,4.8962
DELANTERO (base entallada),1,S,corte,79,1.5316,5.0848
DELANTERO (base entallada),1,S,corte,80,1.3554,5.2646
DELANTERO (base entallada),1,S,corte,81,1.1736,5.4368
DELANTERO (base entallada),1,S,corte,82,0.9834,5.6046
DELANTERO (base entallada),1,S,corte,83,0.7840,5.7697
DELANTERO (base entallada),1,S,corte,84,0.5761,5.9328
DELANTERO (base entallada),1,S,corte,85,0.3604,6.0945
DELANTERO (base entallada),1,S,corte,86,0.1377,6.2554
DELANTERO (base entallada),1,S,corte,87,0.0000,6.3521
DELANTERO (base entallada),1,S,corte,88,0.0000,46.0333
DELANTERO (base entallada),1,S,corte,89,9.1546,46.0333
DELANTERO (base entallada),1,S,corte,90,9.8333,37.7618
ESPALDA (base entallada),2,S,costura,0,0.0000,2.4222
ESPALDA (base entallada),2,S,costura,1,0.2646,2.4224
ESPALDA (base entallada),2,S,costura,2,0.5290,2.4219
ESPALDA (base entallada),2,S,costura,3,0.7932,2.4198
ESPALDA (base entallada),2,S,costura,4,1.0571,2.4155
ESPALDA (base entallada),2,S,costura,5,1.3204,2.4081
ESPALDA (base entallada),2,S,costura,6,1.5831,2.3970
ESPALDA (base entallada),2,S,costura,7,1.8451,2.3814
ESPALDA (base entallada),2,S,costura,8,2.1062,2.3604
ESPALDA (base entallada),2,S,costura,9,2.3663,2.3335
ESPALDA (base entallada),2,S,costura,10,2.6254,2.2997
ESPALDA (base entallada),2,S,costura,11,2.8831,2.2584
ESPALDA (base entallada),2,S,costura,12,3.1396,2.2088
ESPALDA (base entallada),2,S,costura,13,3.3945,2.1501
ESPALDA (base entallada),2,S,costura,14,3.6478,2.0822
ESPALDA (base entallada),2,S,costura,15,3.8990,2.0053
ESPALDA (base entallada),2,S,costura,16,4.1479,1.9196
ESPALDA (base entallada),2,S,costura,17,4.3941,1.8255
