pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,S,costura,0,-1.7000,9.4000
DELANTERO,1,S,costura,1,0.0000,9.4000
DELANTERO,1,S,costura,2,0.2405,7.4023
DELANTERO,1,S,costura,3,0.4802,7.2369
DELANTERO,1,S,costura,4,0.7180,7.0698
DELANTERO,1,S,costura,5,0.9531,6.8999
DELANTERO,1,S,costura,6,1.1846,6.7264
DELANTERO,1,S,costura,7,1.4116,6.5484
DELANTERO,1,S,costura,8,1.6332,6.3648
DELANTERO,1,S,costura,9,1.8485,6.1750
DELANTERO,1,S,costura,10,2.0565,5.9778
DELANTERO,1,S,costura,11,2.2572,5.7732
DELANTERO,1,S,costura,12,2.4512,5.5618
DELANTERO,1,S,costura,13,2.6394,5.3446
DELANTERO,1,S,costura,14,2.8226,5.1222
DELANTERO,1,S,costura,15,3.0016,4.8956
DELANTERO,1,S,costura,16,3.1772,4.6655
DELANTERO,1,S,costura,17,3.3503,4.4327
DELANTERO,1,S,costura,18,3.5218,4.1981
DELANTERO,1,S,costura,19,3.6923,3.9624
DELANTERO,1,S,costura,20,3.8628,3.7266
DELANTERO,1,S,costura,21,4.0340,3.4913
DELANTERO,1,S,costura,22,4.2068,3.2574
DELANTERO,1,S,costura,23,4.3820,3.0258
DELANTERO,1,S,costura,24,4.5603,2.7970
DELANTERO,1,S,costura,25,4.7416,2.5710
DELANTERO,1,S,costura,26,4.9256,2.3476
DELANTERO,1,S,costura,27,5.1122,2.1266
DELANTERO,1,S,costura,28,5.3011,1.9078
DELANTERO,1,S,costura,29,5.4920,1.6909
DELANTERO,1,S,costura,30,5.6848,1.4758
DELANTERO,1,S,costura,31,5.8792,1.2621
DELANTERO,1,S,costura,32,6.0750,1.0498
DELANTERO,1,S,costura,33,6.2720,0.8385
DELANTERO,1,S,costura,34,6.4698,0.6281
DELANTERO,1,S,costura,35,6.6684,0.4184
DELANTERO,1,S,costura,36,6.8674,0.2091
DELANTERO,1,S,costura,37,7.0667,0.0000
DELANTERO,1,S,costura,38,18.2916,5.5000
DELANTERO,1,S,costura,39,18.1147,6.0043
DELANTERO,1,S,costura,40,17.9413,6.5080
DELANTERO,1,S,costura,41,17.7748,7.0103
