pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,S,costura,0,-1.7000,9.4000
DELANTERO,1,S,costura,1,0.0000,9.4000
DELANTERO,1,S,costura,2,0.2284,8.1763
DELANTERO,1,S,costura,3,0.4558,7.9850
DELANTERO,1,S,costura,4,0.6812,7.7920
DELANTERO,1,S,costura,5,0.9035,7.5965
DELANTERO,1,S,costura,6,1.1217,7.3975
DELANTERO,1,S,costura,7,1.3347,7.1942
DELANTERO,1,S,costura,8,1.5417,6.9858
DELANTERO,1,S,costura,9,1.7414,6.7713
DELANTERO,1,S,costura,10,1.9331,6.5501
DELANTERO,1,S,costura,11,2.1168,6.3221
DELANTERO,1,S,costura,12,2.2934,6.0882
DELANTERO,1,S,costura,13,2.4638,5.8490
DELANTERO,1,S,costura,14,2.6288,5.6053
DELANTERO,1,S,costura,15,2.7894,5.3578
DELANTERO,1,S,costura,16,2.9465,5.1072
DELANTERO,1,S,costura,17,3.1009,4.8543
DELANTERO,1,S,costura,18,3.2535,4.5998
DELANTERO,1,S,costura,19,3.4052,4.3444
DELANTERO,1,S,costura,20,3.5569,4.0888
DELANTERO,1,S,costura,21,3.7094,3.8339
DELANTERO,1,S,costura,22,3.8638,3.5802
DELANTERO,1,S,costura,23,4.0208,3.3286
DELANTERO,1,S,costura,24,4.1810,3.0796
DELANTERO,1,S,costura,25,4.3445,2.8330
DELANTERO,1,S,costura,26,4.5110,2.5888
DELANTERO,1,S,costura,27,4.6801,2.3467
DELANTERO,1,S,costura,28,4.8518,2.1065
DELANTERO,1,S,costura,29,5.0256,1.8681
DELANTERO,1,S,costura,30,5.2014,1.6312
DELANTERO,1,S,costura,31,5.3790,1.3957
DELANTERO,1,S,costura,32,5.5580,1.1613
DELANTERO,1,S,costura,33,5.7383,0.9279
DELANTERO,1,S,costura,34,5.9195,0.6952
DELANTERO,1,S,costura,35,6.1015,0.4632
DELANTERO,1,S,costura,36,6.2839,0.2315
DELANTERO,1,S,costura,37,6.4667,0.0000
DELANTERO,1,S,costura,38,17.9231,5.0000
DELANTERO,1,S,costura,39,17.7604,5.5332
DELANTERO,1,S,costura,40,17.6009,6.0656
DELANTERO,1,S,costura,41,17.4479,6.5967
