pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO KIMONO,1,S,costura,0,-1.7000,9.4000
DELANTERO KIMONO,1,S,costura,1,0.0000,9.4000
DELANTERO KIMONO,1,S,costura,2,0.2461,9.1835
DELANTERO KIMONO,1,S,costura,3,0.4911,8.9661
DELANTERO KIMONO,1,S,costura,4,0.7338,8.7468
DELANTERO KIMONO,1,S,costura,5,0.9730,8.5248
DELANTERO KIMONO,1,S,costura,6,1.2077,8.2991
DELANTERO KIMONO,1,S,costura,7,1.4365,8.0688
DELANTERO KIMONO,1,S,costura,8,1.6585,7.8329
DELANTERO KIMONO,1,S,costura,9,1.8724,7.5907
DELANTERO KIMONO,1,S,costura,10,2.0772,7.3412
DELANTERO KIMONO,1,S,costura,11,2.2732,7.0846
DELANTERO KIMONO,1,S,costura,12,2.4613,6.8218
DELANTERO KIMONO,1,S,costura,13,2.6426,6.5534
DELANTERO KIMONO,1,S,costura,14,2.8179,6.2802
DELANTERO KIMONO,1,S,costura,15,2.9884,6.0031
DELANTERO KIMONO,1,S,costura,16,3.1549,5.7227
DELANTERO KIMONO,1,S,costura,17,3.3185,5.4399
DELANTERO KIMONO,1,S,costura,18,3.4801,5.1554
DELANTERO KIMONO,1,S,costura,19,3.6408,4.8700
DELANTERO KIMONO,1,S,costura,20,3.8014,4.5845
DELANTERO KIMONO,1,S,costura,21,3.9631,4.2995
DELANTERO KIMONO,1,S,costura,22,4.1267,4.0160
DELANTERO KIMONO,1,S,costura,23,4.2932,3.7346
DELANTERO KIMONO,1,S,costura,24,4.4635,3.4560
DELANTERO KIMONO,1,S,costura,25,4.6372,3.1800
DELANTERO KIMONO,1,S,costura,26,4.8143,2.9064
DELANTERO KIMONO,1,S,costura,27,4.9943,2.6351
DELANTERO KIMONO,1,S,costura,28,5.1771,2.3658
DELANTERO KIMONO,1,S,costura,29,5.3624,2.0983
DELANTERO KIMONO,1,S,costura,30,5.5498,1.8325
DELANTERO KIMONO,1,S,costura,31,5.7391,1.5680
DELANTERO KIMONO,1,S,costura,32,5.9301,1.3048
DELANTERO KIMONO,1,S,costura,33,6.1224,1.0427
DELANTERO KIMONO,1,S,costura,34,6.3159,0.7813
DELANTERO KIMONO,1,S,costura,35,6.5101,0.5205
DELANTERO KIMONO,1,S,costura,36,6.7049,0.2602
