pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,S,costura,0,-1.7000,9.4000
DELANTERO,1,S,costura,1,0.0000,9.4000
DELANTERO,1,S,costura,2,0.2485,9.6693
DELANTERO,1,S,costura,3,0.4958,9.4376
DELANTERO,1,S,costura,4,0.7407,9.2041
DELANTERO,1,S,costura,5,0.9820,8.9678
DELANTERO,1,S,costura,6,1.2184,8.7279
DELANTERO,1,S,costura,7,1.4487,8.4834
DELANTERO,1,S,costura,8,1.6718,8.2333
DELANTERO,1,S,costura,9,1.8864,7.9769
DELANTERO,1,S,costura,10,2.0916,7.7132
DELANTERO,1,S,costura,11,2.2875,7.4425
DELANTERO,1,S,costura,12,2.4753,7.1657
DELANTERO,1,S,costura,13,2.6561,6.8834
DELANTERO,1,S,costura,14,2.8307,6.5964
DELANTERO,1,S,costura,15,3.0002,6.3055
DELANTERO,1,S,costura,16,3.1657,6.0114
DELANTERO,1,S,costura,17,3.3282,5.7149
DELANTERO,1,S,costura,18,3.4886,5.4168
DELANTERO,1,S,costura,19,3.6480,5.1178
DELANTERO,1,S,costura,20,3.8075,4.8187
DELANTERO,1,S,costura,21,3.9680,4.5201
DELANTERO,1,S,costura,22,4.1306,4.2230
DELANTERO,1,S,costura,23,4.2962,3.9281
DELANTERO,1,S,costura,24,4.4656,3.6358
DELANTERO,1,S,costura,25,4.6388,3.3461
DELANTERO,1,S,costura,26,4.8153,3.0588
DELANTERO,1,S,costura,27,4.9949,2.7737
DELANTERO,1,S,costura,28,5.1774,2.4906
DELANTERO,1,S,costura,29,5.3623,2.2094
DELANTERO,1,S,costura,30,5.5496,1.9297
DELANTERO,1,S,costura,31,5.7388,1.6514
DELANTERO,1,S,costura,32,5.9298,1.3743
DELANTERO,1,S,costura,33,6.1221,1.0983
DELANTERO,1,S,costura,34,6.3156,0.8230
DELANTERO,1,S,costura,35,6.5099,0.5483
DELANTERO,1,S,costura,36,6.7048,0.2741
DELANTERO,1,S,costura,37,6.9000,0.0000
DELANTERO,1,S,costura,38,18.3564,5.0000
DELANTERO,1,S,costura,39,17.9376,5.5521
DELANTERO,1,S,costura,40,17.5244,6.1036
DELANTERO,1,S,costura,41,17.1225,6.6538
