pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO (base entallada),1,S,costura,0,0.0000,7.9000
DELANTERO (base entallada),1,S,costura,1,0.2240,7.7222
DELANTERO (base entallada),1,S,costura,2,0.4471,7.5436
DELANTERO (base entallada),1,S,costura,3,0.6682,7.3633
DELANTERO (base entallada),1,S,costura,4,0.8865,7.1805
DELANTERO (base entallada),1,S,costura,5,1.1009,6.9943
DELANTERO (base entallada),1,S,costura,6,1.3104,6.8038
DELANTERO (base entallada),1,S,costura,7,1.5142,6.6083
DELANTERO (base entallada),1,S,costura,8,1.7113,6.4068
DELANTERO (base entallada),1,S,costura,9,1.9007,6.1986
DELANTERO (base entallada),1,S,costura,10,2.0825,5.9837
DELANTERO (base entallada),1,S,costura,11,2.2575,5.7629
DELANTERO (base entallada),1,S,costura,12,2.4266,5.5368
DELANTERO (base entallada),1,S,costura,13,2.5906,5.3062
DELANTERO (base entallada),1,S,costura,14,2.7503,5.0717
DELANTERO (base entallada),1,S,costura,15,2.9066,4.8342
DELANTERO (base entallada),1,S,costura,16,3.0604,4.5944
DELANTERO (base entallada),1,S,costura,17,3.2125,4.3529
DELANTERO (base entallada),1,S,costura,18,3.3637,4.1106
DELANTERO (base entallada),1,S,costura,19,3.5149,3.8681
DELANTERO (base entallada),1,S,costura,20,3.6669,3.6262
DELANTERO (base entallada),1,S,costura,21,3.8205,3.3855
DELANTERO (base entallada),1,S,costura,22,3.9767,3.1469
DELANTERO (base entallada),1,S,costura,23,4.1360,2.9108
DELANTERO (base entallada),1,S,costura,24,4.2984,2.6773
DELANTERO (base entallada),1,S,costura,25,4.4636,2.4461
DELANTERO (base entallada),1,S,costura,26,4.6314,2.2169
DELANTERO (base entallada),1,S,costura,27,4.8016,1.9898
DELANTERO (base entallada),1,S,costura,28,4.9738,1.7643
DELANTERO (base entallada),1,S,costura,29,5.1480,1.5404
DELANTERO (base entallada),1,S,costura,30,5.3238,1.3178
DELANTERO (base entallada),1,S,costura,31,5.5010,1.0964
DELANTERO (base entallada),1,S,costura,32,5.6794,0.8760
DELANTERO (base entallada),1,S,costura,33,5.8587,0.6563
DELANTERO (base entallada),1,S,costura,34,6.0387,0.4372
DELANTERO (base entallada),1,S,costura,35,6.2193,0.2185
DELANTERO (base entallada),1,S,costura,36,6.4000,0.0000
DELANTERO (base entallada),1,S,costura,37,17.8564,5.0000
DELANTERO (base entallada),1,S,costura,38,17.7544,5.5135
DELANTERO (base entallada),1,S,costura,39,17.6551,6.0263
DELANTERO (base entallada),1,S,costura,40,17.5610,6.5378
DELANTERO (base entallada),1,S,costura,41,17.4750,7.0474
DELANTERO (base entallada),1,S,costura,42,17.3996,7.5544
DELANTERO (base entallada),1,S,costura,43,17.3376,8.0582
DELANTERO (base entallada),1,S,costura,44,17.2915,8.5580
DELANTERO (base entallada),1,S,costura,45,17.2640,9.0533
DELANTERO (base entallada),1,S,costura,46,17.2579,9.5435
DELANTERO (base entallada),1,S,costura,47,17.2757,10.0277
DELANTERO (base entallada),1,S,costura,48,17.3202,10.5055
DELANTERO (base entallada),1,S,costura,49,17.3940,10.9762
DELANTERO (base entallada),1,S,costura,50,17.4997,11.4391
DELANTERO (base entallada),1,S,costura,51,17.6392,11.8937
DELANTERO (base entallada),1,S,costura,52,17.8103,12.3404
DELANTERO (base entallada),1,S,costura,53,18.0102,12.7798
DELANTERO (base entallada),1,S,costura,54,18.2358,13.2124
DELANTERO (base entallada),1,S,costura,55,18.4842,13.6387
DELANTERO (base entallada),1,S,costura,56,18.7525,14.0593
DELANTERO (base entallada),1,S,costura,57,19.0378,14.4748
DELANTERO (base entallada),1,S,costura,58,19.3370,14.8856
DELANTERO (base entallada),1,S,costura,59,19.6471,15.2923
DELANTERO (base entallada),1,S,costura,60,19.9654,15.6955
DELANTERO (base entallada),1,S,costura,61,20.2887,16.0957
DELANTERO (base entallada),1,S,costura,62,20.6142,16.4934
DELANTERO (base entallada),1,S,costura,63,20.9388,16.8893
DELANTERO (base entallada),1,S,costura,64,21.2598,17.2837
DELANTERO (base entallada),1,S,costura,65,21.5762,17.6771
DELANTERO (base entallada),1,S,costura,66,21.8883,18.0695
DELANTERO (base entallada),1,S,costura,67,22.1968,18.4611
DELANTERO (base entallada),1,S,costura,68,22.5021,18.8520
DELANTERO (base entallada),1,S,costura,69,22.8048,19.2423
DELANTERO (base entallada),1,S,costura,70,23.1055,19.6322
DELANTERO (base entallada),1,S,costura,71,23.4045,20.0216
DELANTERO (base entallada),1,S,costura,72,23.7025,20.4109
DELANTERO (base entallada),1,S,costura,73,24.0000,20.8000
DELANTERO (base entallada),1,S,costura,74,11.8000,22.5500
DELANTERO (base entallada),1,S,costura,75,24.0000,24.3000
DELANTERO (base entallada),1,S,costura,76,23.8381,25.9639
DELANTERO (base entallada),1,S,costura,77,23.6782,27.6280
DELANTERO (base entallada),1,S,costura,78,23.5225,29.2923
DELANTERO (base entallada),1,S,costura,79,23.3730,30.9571
DELANTERO (base entallada),1,S,costura,80,23.2317,32.6226
DELANTERO (base entallada),1,S,costura,81,23.1008,34.2888
DELANTERO (base entallada),1,S,costura,82,22.9817,35.9559
DELANTERO (base entallada),1,S,costura,83,22.8729,37.6238
DELANTERO (base entallada),1,S,costura,84,22.7724,39.2923
DELANTERO (base entallada),1,S,costura,85,22.6782,40.9613
DELANTERO (base entallada),1,S,costura,86,22.5880,42.6306
DELANTERO (base entallada),1,S,costura,87,22.5000,44.3000
DELANTERO (base entallada),1,S,costura,88,11.3000,44.3000
DELANTERO (base entallada),1,S,costura,89,9.8000,25.3000
DELANTERO (base entallada),1,S,costura,90,8.3000,44.3000
DELANTERO (base entallada),1,S,costura,91,0.0000,44.3000
DELANTERO (base entallada),1,S,corte,0,9.8000,38.0061
DELANTERO (base entallada),1,S,corte,1,10.3758,45.3000
DELANTERO (base entallada),1,S,corte,2,23.4487,45.3000
DELANTERO (base entallada),1,S,corte,3,23.5866,42.6838
DELANTERO (base entallada),1,S,corte,4,23.6766,41.0164
DELANTERO (base entallada),1,S,corte,5,23.7707,39.3506
DELANTERO (base entallada),1,S,corte,6,23.8709,37.6864
DELANTERO (base entallada),1,S,corte,7,23.9794,36.0241
DELANTERO (base entallada),1,S,corte,8,24.0980,34.3636
DELANTERO (base entallada),1,S,corte,9,24.2284,32.7040
DELANTERO (base entallada),1,S,corte,10,24.3692,31.0441
DELANTERO (base entallada),1,S,corte,11,24.5183,29.3836
DELANTERO (base entallada),1,S,corte,12,24.6737,27.7223
DELANTERO (base entallada),1,S,corte,13,24.8334,26.0601
