pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO,1,S,costura,0,-1.7000,9.4000
DELANTERO,1,S,costura,1,0.0000,9.4000
DELANTERO,1,S,costura,2,0.2240,7.7222
DELANTERO,1,S,costura,3,0.4471,7.5436
DELANTERO,1,S,costura,4,0.6682,7.3633
DELANTERO,1,S,costura,5,0.8865,7.1805
DELANTERO,1,S,costura,6,1.1009,6.9943
DELANTERO,1,S,costura,7,1.3104,6.8038
DELANTERO,1,S,costura,8,1.5142,6.6083
DELANTERO,1,S,costura,9,1.7113,6.4068
DELANTERO,1,S,costura,10,1.9007,6.1986
DELANTERO,1,S,costura,11,2.0825,5.9837
DELANTERO,1,S,costura,12,2.2575,5.7629
DELANTERO,1,S,costura,13,2.4266,5.5368
DELANTERO,1,S,costura,14,2.5906,5.3062
DELANTERO,1,S,costura,15,2.7503,5.0717
DELANTERO,1,S,costura,16,2.9066,4.8342
DELANTERO,1,S,costura,17,3.0604,4.5944
DELANTERO,1,S,costura,18,3.2125,4.3529
DELANTERO,1,S,costura,19,3.3637,4.1106
DELANTERO,1,S,costura,20,3.5149,3.8681
DELANTERO,1,S,costura,21,3.6669,3.6262
DELANTERO,1,S,costura,22,3.8205,3.3855
DELANTERO,1,S,costura,23,3.9767,3.1469
DELANTERO,1,S,costura,24,4.1360,2.9108
DELANTERO,1,S,costura,25,4.2984,2.6773
DELANTERO,1,S,costura,26,4.4636,2.4461
DELANTERO,1,S,costura,27,4.6314,2.2169
DELANTERO,1,S,costura,28,4.8016,1.9898
DELANTERO,1,S,costura,29,4.9738,1.7643
DELANTERO,1,S,costura,30,5.1480,1.5404
DELANTERO,1,S,costura,31,5.3238,1.3178
DELANTERO,1,S,costura,32,5.5010,1.0964
DELANTERO,1,S,costura,33,5.6794,0.8760
DELANTERO,1,S,costura,34,5.8587,0.6563
DELANTERO,1,S,costura,35,6.0387,0.4372
DELANTERO,1,S,costura,36,6.2193,0.2185
DELANTERO,1,S,costura,37,6.4000,0.0000
DELANTERO,1,S,costura,38,17.8564,5.0000
DELANTERO,1,S,costura,39,17.7544,5.5135
DELANTERO,1,S,costura,40,17.6551,6.0263
DELANTERO,1,S,costura,41,17.5610,6.5378
