pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO (bardot),1,S,costura,0,-1.7000,10.4000
DELANTERO (bardot),1,S,costura,1,0.0000,10.4000
DELANTERO (bardot),1,S,costura,2,1.2903,10.3791
DELANTERO (bardot),1,S,costura,3,2.5670,10.3343
DELANTERO (bardot),1,S,costura,4,3.8165,10.2420
DELANTERO (bardot),1,S,costura,5,5.0252,10.0782
DELANTERO (bardot),1,S,costura,6,6.1796,9.8191
DELANTERO (bardot),1,S,costura,7,7.2660,9.4410
DELANTERO (bardot),1,S,costura,8,8.2730,8.9236
DELANTERO (bardot),1,S,costura,9,9.2030,8.2715
DELANTERO (bardot),1,S,costura,10,10.0647,7.4996
DELANTERO (bardot),1,S,costura,11,10.8665,6.6229
DELANTERO (bardot),1,S,costura,12,11.6171,5.6563
DELANTERO (bardot),1,S,costura,13,12.3250,4.6149
DELANTERO (bardot),1,S,costura,14,12.9986,3.5136
DELANTERO (bardot),1,S,costura,15,13.6467,2.3674
DELANTERO (bardot),1,S,costura,16,14.2776,1.1912
DELANTERO (bardot),1,S,costura,17,14.9000,0.0000
DELANTERO (bardot),1,S,costura,18,18.3564,5.0000
DELANTERO (bardot),1,S,costura,19,18.1496,5.5623
DELANTERO (bardot),1,S,costura,20,17.9458,6.1239
DELANTERO (bardot),1,S,costura,21,17.7481,6.6841
DELANTERO (bardot),1,S,costura,22,17.5595,7.2424
DELANTERO (bardot),1,S,costura,23,17.3831,7.7980
DELANTERO (bardot),1,S,costura,24,17.2220,8.3502
DELANTERO (bardot),1,S,costura,25,17.0791,8.8984
DELANTERO (bardot),1,S,costura,26,16.9575,9.4419
DELANTERO (bardot),1,S,costura,27,16.8602,9.9801
DELANTERO (bardot),1,S,costura,28,16.7904,10.5123
DELANTERO (bardot),1,S,costura,29,16.7510,11.0378
DELANTERO (bardot),1,S,costura,30,16.7452,11.5559
DELANTERO (bardot),1,S,costura,31,16.7758,12.0660
DELANTERO (bardot),1,S,costura,32,16.8461,12.5674
DELANTERO (bardot),1,S,costura,33,16.9589,13.0594
DELANTERO (bardot),1,S,costura,34,17.1170,13.5414
DELANTERO (bardot),1,S,costura,35,17.3184,14.0138
DELANTERO (bardot),1,S,costura,36,17.5587,14.4771
DELANTERO (bardot),1,S,costura,37,17.8334,14.9320
DELANTERO (bardot),1,S,costura,38,18.1380,15.3792
DELANTERO (bardot),1,S,costura,39,18.4680,15.8194
DELANTERO (bardot),1,S,costura,40,18.8190,16.2534
DELANTERO (bardot),1,S,costura,41,19.1863,16.6817
DELANTERO (bardot),1,S,costura,42,19.5657,17.1050
DELANTERO (bardot),1,S,costura,43,19.9525,17.5241
DELANTERO (bardot),1,S,costura,44,20.3422,17.9397
DELANTERO (bardot),1,S,costura,45,20.7305,18.3524
DELANTERO (bardot),1,S,costura,46,21.1130,18.7628
DELANTERO (bardot),1,S,costura,47,21.4888,19.1714
DELANTERO (bardot),1,S,costura,48,21.8586,19.5785
DELANTERO (bardot),1,S,costura,49,22.2233,19.9842
DELANTERO (bardot),1,S,costura,50,22.5837,20.3887
DELANTERO (bardot),1,S,costura,51,22.9408,20.7923
DELANTERO (bardot),1,S,costura,52,23.2953,21.1953
DELANTERO (bardot),1,S,costura,53,23.6481,21.5977
DELANTERO (bardot),1,S,costura,54,24.0000,22.0000
DELANTERO (bardot),1,S,costura,55,24.0000,68.0000
DELANTERO (bardot),1,S,costura,56,-1.7000,68.0000
DELANTERO (bardot),1,S,corte,0,-2.7000,69.0000
DELANTERO (bardot),1,S,corte,1,25.0000,69.0000
DELANTERO (bardot),1,S,corte,2,25.0000,21.6243
DELANTERO (bardot),1,S,corte,3,24.4001,20.9386
DELANTERO (bardot),1,S,corte,4,24.0467,20.5354
DELANTERO (bardot),1,S,corte,5,23.6907,20.1308
DELANTERO (bardot),1,S,corte,6,23.3316,19.7248
DELANTERO (bardot),1,S,corte,7,22.9684,19.3173
DELANTERO (bardot),1,S,corte,8,22.6005,18.9080
DELANTERO (bardot),1,S,corte,9,22.2269,18.4968
DELANTERO (bardot),1,S,corte,10,21.8468,18.0835
DELANTERO (bardot),1,S,corte,11,21.4604,17.6688
DELANTERO (bardot),1,S,corte,12,21.0711,17.2550
DELANTERO (bardot),1,S,corte,13,20.6846,16.8430
DELANTERO (bardot),1,S,corte,14,20.3055,16.4322
DELANTERO (bardot),1,S,corte,15,19.9383,16.0224
DELANTERO (bardot),1,S,corte,16,19.5874,15.6133
DELANTERO (bardot),1,S,corte,17,19.2571,15.2049
DELANTERO (bardot),1,S,corte,18,18.9518,14.7975
DELANTERO (bardot),1,S,corte,19,18.6753,14.3917
DELANTERO (bardot),1,S,corte,20,18.4315,13.9879
DELANTERO (bardot),1,S,corte,21,18.2235,13.5868
DELANTERO (bardot),1,S,corte,22,18.0538,13.1889
DELANTERO (bardot),1,S,corte,23,17.9234,12.7912
DELANTERO (bardot),1,S,corte,24,17.8304,12.3859
DELANTERO (bardot),1,S,corte,25,17.7716,11.9664
DELANTERO (bardot),1,S,corte,26,17.7455,11.5315
DELANTERO (bardot),1,S,corte,27,17.7506,11.0808
DELANTERO (bardot),1,S,corte,28,17.7855,10.6148
DELANTERO (bardot),1,S,corte,29,17.8486,10.1342
DELANTERO (bardot),1,S,corte,30,17.9379,9.6401
DELANTERO (bardot),1,S,corte,31,18.0511,9.1337
DELANTERO (bardot),1,S,corte,32,18.1860,8.6164
DELANTERO (bardot),1,S,corte,33,18.3398,8.0894
DELANTERO (bardot),1,S,corte,34,18.5099,7.5537
DELANTERO (bardot),1,S,corte,35,18.6933,7.0105
DELANTERO (bardot),1,S,corte,36,18.8873,6.4608
DELANTERO (bardot),1,S,corte,37,19.0889,5.9055
DELANTERO (bardot),1,S,corte,38,19.4741,4.8582
DELANTERO (bardot),1,S,corte,39,14.7807,-1.9311
DELANTERO (bardot),1,S,corte,40,13.3938,0.7232
DELANTERO (bardot),1,S,corte,41,12.7707,1.8849
DELANTERO (bardot),1,S,corte,42,12.1366,3.0065
DELANTERO (bardot),1,S,corte,43,11.4844,4.0726
