pieza,numero,talla,tipo_linea,indice,x_cm,y_cm
DELANTERO RAGLAN,1,S,costura,0,-1.7000,9.4000
DELANTERO RAGLAN,1,S,costura,1,0.0000,9.4000
DELANTERO RAGLAN,1,S,costura,2,0.2461,9.1835
DELANTERO RAGLAN,1,S,costura,3,0.4911,8.9661
DELANTERO RAGLAN,1,S,costura,4,0.7338,8.7468
DELANTERO RAGLAN,1,S,costura,5,0.9730,8.5248
DELANTERO RAGLAN,1,S,costura,6,1.2077,8.2991
DELANTERO RAGLAN,1,S,costura,7,1.4365,8.0688
DELANTERO RAGLAN,1,S,costura,8,1.6585,7.8329
DELANTERO RAGLAN,1,S,costura,9,1.8724,7.5907
DELANTERO RAGLAN,1,S,costura,10,2.0772,7.3412
DELANTERO RAGLAN,1,S,costura,11,2.2732,7.0846
DELANTERO RAGLAN,1,S,costura,12,2.4613,6.8218
DELANTERO RAGLAN,1,S,costura,13,2.6426,6.5534
DELANTERO RAGLAN,1,S,costura,14,2.8179,6.2802
DELANTERO RAGLAN,1,S,costura,15,2.9884,6.0031
DELANTERO RAGLAN,1,S,costura,16,3.1549,5.7227
DELANTERO RAGLAN,1,S,costura,17,3.3185,5.4399
DELANTERO RAGLAN,1,S,costura,18,3.4801,5.1554
DELANTERO RAGLAN,1,S,costura,19,3.6408,4.8700
DELANTERO RAGLAN,1,S,costura,20,3.6432,4.8658
DELANTERO RAGLAN,1,S,costura,21,4.6912,5.7123
DELANTERO RAGLAN,1,S,costura,22,5.7439,6.5518
DELANTERO RAGLAN,1,S,costura,23,6.8060,7.3770
DELANTERO RAGLAN,1,S,costura,24,7.8821,8.1809
DELANTERO RAGLAN,1,S,costura,25,8.9770,8.9563
DELANTERO RAGLAN,1,S,costura,26,10.0949,9.6967
DELANTERO RAGLAN,1,S,costura,27,11.2355,10.4025
DELANTERO RAGLAN,1,S,costura,28,12.3952,11.0794
DELANTERO RAGLAN,1,S,costura,29,13.5701,11.7332
DELANTERO RAGLAN,1,S,costura,30,14.7563,12.3697
DELANTERO RAGLAN,1,S,costura,31,15.9502,12.9946
DELANTERO RAGLAN,1,S,costura,32,17.1478,13.6137
DELANTERO RAGLAN,1,S,costura,33,17.3184,14.0138
DELANTERO RAGLAN,1,S,costura,34,17.5587,14.4771
DELANTERO RAGLAN,1,S,costura,35,17.8334,14.9320
DELANTERO RAGLAN,1,S,costura,36,18.1380,15.3792
DELANTERO RAGLAN,1,S,costura,37,18.4680,15.8194
DELANTERO RAGLAN,1,S,costura,38,18.8190,16.2534
DELANTERO RAGLAN,1,S,costura,39,19.1863,16.6817
DELANTERO RAGLAN,1,S,costura,40,19.5657,17.1050
DELANTERO RAGLAN,1,S,costura,41,19.9525,17.5241
DELANTERO RAGLAN,1,S,costura,42,20.3422,17.9397
DELANTERO RAGLAN,1,S,costura,43,20.7305,18.3524
DELANTERO RAGLAN,1,S,costura,44,21.1130,18.7628
DELANTERO RAGLAN,1,S,costura,45,21.4888,19.1714
DELANTERO RAGLAN,1,S,costura,46,21.8586,19.5785
DELANTERO RAGLAN,1,S,costura,47,22.2233,19.9842
DELANTERO RAGLAN,1,S,costura,48,22.5837,20.3887
DELANTERO RAGLAN,1,S,costura,49,22.9408,20.7923
DELANTERO RAGLAN,1,S,costura,50,23.2953,21.1953
DELANTERO RAGLAN,1,S,costura,51,23.6481,21.5977
DELANTERO RAGLAN,1,S,costura,52,24.0000,22.0000
DELANTERO RAGLAN,1,S,costura,53,24.0000,68.0000
DELANTERO RAGLAN,1,S,costura,54,-1.7000,68.0000
DELANTERO RAGLAN,1,S,corte,0,-2.7000,69.0000
DELANTERO RAGLAN,1,S,corte,1,25.0000,69.0000
DELANTERO RAGLAN,1,S,corte,2,25.0000,21.6243
DELANTERO RAGLAN,1,S,corte,3,24.4001,20.9386
DELANTERO RAGLAN,1,S,corte,4,24.0467,20.5354
DELANTERO RAGLAN,1,S,corte,5,23.6907,20.1308
DELANTERO RAGLAN,1,S,corte,6,23.3316,19.7248
DELANTERO RAGLAN,1,S,corte,7,22.9684,19.3173
DELANTERO RAGLAN,1,S,corte,8,22.6005,18.9080
DELANTERO RAGLAN,1,S,corte,9,22.2269,18.4968
DELANTERO RAGLAN,1,S,corte,10,21.8468,18.0835
